Column1,sslccode,talukcode,schoolname,address1,address2,address3,address4,pincode,management,urban,taluk,dist
1,RR0322,RR02,SRI GOPALAKRISHNA HIGH SCHOOL,MUDAGAL,LINGASAGUR TQ,RAICHUR DIST,,584125,U,U,LINGASUGUR,RAICHUR
2,RR0323,RR01,SRI MORARJI DESAI MODEL RES SCHOOL,GABBUR,DEVDURGA TQ,RAICHUR  DIST,,NA,U,U,DEVADURGA,RAICHUR
3,DA0240,DA01,SRI VIVEKANANDA RURAL HIGH SCHOOL,MOODLA PANNI,KORATAGERE,MADHUGIRI EDN. DIST,TUMAKURU DIST,572129,U,U,KORATAGERE,TUMKUR MADHUGIRI
4,RR0324,RR01,GOVT HIGH SCHOOL,SOMANAMARADI,H SIDDAPURA POST,"DEVADURGA TQ, RAICHUR DIST",,NA,G,R,DEVADURGA,RAICHUR
5,RR0325,RR04,SRI MORARJI DESAI MODEL RES SCHOOL,SINGANODI,RAICHUR TQ,RAICHUR DIST,,584102,G,R,RAICHUR,RAICHUR
6,RA0217,RA03,SRI MORAJI DESAI RES SCHOOL,(BCM) KATAPURA,KUSTAGI TQ,KOPPAL DIST,,584114,G,R,KUSTAGI,KOPPAL
7,DA0241,DA01,MORARJI DESAI MODEL RESI SCHOOL,REDDY KATTE BARE,"HOLAVANAHALLI POST,","KORATAGERE TQ, MADHUGIRI EDN. DIST",TUMAKURU DIST,NA,G,R,KORATAGERE,TUMKUR MADHUGIRI
8,RA0218,RA01,SRI MORARAJI DESAI ENG MED RES SCHOOL,(MINORITY) HIREBENEKALLA,GANGAVATI TQ,KOPPAL DIST,,583227,G,R,GANGAVATHI,KOPPAL
9,RA0219,RA04,SRI MORARJI DESAI RES SCHOOL,(BCM) BEWOOR,YALBURGA TQ,KOPPAL DIST,,583236,G,R,YELBURGA,KOPPAL
10,DA0242,DA04,ARUNODAYA HIGH SCHOOL,LAKKANAHALLI SIRA TQ.,MADHUGIRI EDN. DIST,,TUMAKURU DIST,572113,U,R,SIRA,TUMKUR MADHUGIRI
11,RA0220,RA04,SRI MORARJI DESAI RES SCHOOL,(ST) HIREVANKALAKUNTA,YALBURGA TQ,KOPPAL DIST,,583287,G,R,YELBURGA,KOPPAL
12,RA0221,RA04,SRI MORARJI DESAI ENG MED RES SCHOOL,(MINORITY),TALKAL YALBURGA TQ,KOPPAL DIST,,583231,G,R,YELBURGA,KOPPAL
13,DA0243,DA04,SHANTHINIKETHANA HIGH SCHOOL,PATTANAYAKANAHALLI,SIRA TQ.,MADHUGIRI EDN DIST,TUMAKURU DIST,572135,U,R,SIRA,TUMKUR MADHUGIRI
14,RA0222,RA04,BAPUJI HIGH SCHOOL,MANGALURU,YALBURGA TQ,KOPPAL DIST,,583230,U,R,YELBURGA,KOPPAL
15,RA0223,RA01,SRI MORARJI DESAI MODEL RES SCHOOL,KANAKAGIRI,GANGAVATI TQ,KOPPAL DIST,,NA,G,R,GANGAVATHI,KOPPAL
16,DA0244,DA02,SRI MORARJI DESAI MODEL RESI SCHOOL,BADAVANAHALLI,MUDHUGIRI TQ.,MUDHUGIRI EDN. DIST,TUMAKURU DIST,572112,G,R,MADHUGIRI,TUMKUR MADHUGIRI
17,QA0153,QA02,GOVERNMENT HIGH SCHOOL,GUNDAGURTHI,SHAHAPURA TQ,YADGIR DIST,,585319,G,R,SHAHAPUR,YADAGIRI
18,QA0154,QA03,SRI MORARJI DESAI RES SCHOOL,KODEKAL,SHORAPURA TQ,YADGIR DIST,,NA,G,R,SHORAPUR,YADAGIRI
19,DA0245,DA03,SRI SRINGERI SARASWATHI HIGH SCHOOL,RAIN GAUGE EXTN.,PAVAGADA,MADHUGIRI EDN. DIST,TUMAKURU DIST,NA,U,U,PAVAGADA,TUMKUR MADHUGIRI
20,QA0155,QA04,SRI MORARJI DESAI MODEL RES SCHOOL,KONKAL,YADGIR TQ,YADGIR DIST,,NA,G,R,YADGIR,YADAGIRI
21,QA0156,QA03,BASAVANA GOWDA NANDANAGOWDA PATIL MEMO H S,HUNASAGI,SHORAPURA TQ,YADGIR DIST,,NA,U,R,SHORAPUR,YADAGIRI
22,CA0239,CA04,MORARJI DESAI MODEL HIGH SCHOOL,VIDYANAGAR,GOWRIBIDANUR,CHICKABALLAPURA DIST,,561208,G,U,GOWRIBIDANUR,CHIKKABALLAPURA
23,QQ0525,QQ08,GOVERNMENT HIGH SCHOOL,"MOTAKAPALLI,",SEDAM TALUK,KALABURAGI DISTRICT,,585318,G,R,SEDAM,GULBARGA
24,QQ0526,QQ08,GOVERNMENT HIGH SCHOOL,BATGERA (B),SEDAM TALUK,KALABURAGI DISTRICT,,585222,G,R,SEDAM,GULBARGA
25,QQ0527,QQ08,GOVERNMENT HIGH SCHOOL,KHANAGADDA,SEDAM TALUK,KALABURAGI DISTRICT,,585214,G,R,SEDAM,GULBARGA
26,QQ0528,QQ08,GOVERNMENT HIGH SCHOOL,HANDARAKI,SEDAM TALUK,KALABURAGI DISTRICT,,585222,G,R,SEDAM,GULBARGA
27,QQ0529,QQ08,MORARJI DESAI RESI SCHOOL,MALAKHEDA,SEDAM TALUK,KALABURAGI DISTRICT,,585317,A,R,SEDAM,GULBARGA
28,QQ0530,QQ08,POOJYA SHANTHAVEERESHWARASWAMY HIGH SCHOOL,SEDAM,SEDAM TALUK,KALABURAGI DISTRICT,,585222,A,U,SEDAM,GULBARGA
29,QQ0531,QQ08,GOVERNMENT HIGH SCHOOL,"MADANA ,",SEDAM TALUK,KALABURAGI DISTRICT,,585318,G,R,SEDAM,GULBARGA
30,QQ0532,QQ08,GOVERNMENT HIGH SCHOOL,"HABALA (T) ,",SEDAM TALUK,KALABURAGI DISTRICT,,585320,G,R,SEDAM,GULBARGA
31,QQ0533,QQ08,SOMALANAYAK HIGH SCHOOL,"MALAKEDA STATION TANDA,",SEDAM TALUK,KALABURAGI DISTRICT,,585292,U,R,SEDAM,GULBARGA
32,QQ0534,QQ08,"SRI MALKAPPA HALAKHEDA GOVT HIGH SCHOOL,",YADAGA,SEDAM TALUK,KALABURAGI DISTRICT,,585312,G,R,SEDAM,GULBARGA
33,QQ0535,QQ08,SRI MAHAYOGINI MATHA MANIKESHWARI RESIDENTIAL HIGH SCHOOL,"MANIKAGIRI,",SEDAM TALUK,KALABURAGI  DISTRICT,,NA,U,R,SEDAM,GULBARGA
34,QQ0536,QQ08,BASTSTI ENG. MED. HIGH SCHOOL,SEDAM,KALABURAGI DISTRICT,,,NA,U,R,SEDAM,GULBARGA
35,EE0537,EE02,GOVERNMENT HIGH SCHOOL,MANUGANAHALLY,HUNSUR TQ,MYSURU DIST,,571103,G,R,HUNSUR,MYSORE
36,EE0538,EE03,GOVERNMENT HIGH SCHOOL,HOSOORUKALLAHALLY,KASABA HOBLI,KRISHNA RAJANAGAR TQ MYSURU DIST,,NA,G,R,K.R.NAGARA,MYSORE
37,EE0539,EE06,SUDARSHANA HIGH SCHOOL,K H B COLONY,HOOTAGALLY,MYSURU TQ MYSURU DIST,,570018,U,U,MYSORE RURAL,MYSORE
38,EE0540,EE06,SUDARSHANA VIDYA SAMSTHE,K H B COLONY,HOOTAGALLY,MYSURU TALUK MYSURU DIST,,570018,U,R,MYSORE RURAL,MYSORE
39,EE0542,EE02,SRI MORARJI DESAI MODEL,RESIDENTIAL SCHOOL,"DHARMAPURA, HUNSUR",HUNSUR TQ MYSURU DIST,,571189,G,R,HUNSUR,MYSORE
40,EE0543,EE01,GOVERNMENT COMPOSITE HIGH SCHOOL,BADAGALAPURA,HEGGADADEVANAKOTE TALUK,MYSURU DIST,,NA,G,R,H.D.KOTE,MYSORE
41,IA0465,IA07,"GOVT HIGH SCHOOL,","TAMALEHALLI,","HANUMANTHAPURA POST,","JAGALUR TQ, DAVANGERE DIST",,577528,G,R,JAGALUR,DAVANAGERE
42,RA0212,RA04,SRI MORARJI DESAI MODEL RESI H S,YALBURGA,YALBURGA TQ,KOPPAL DIST,,583236,G,R,YELBURGA,KOPPAL
43,RA0213,RA01,LITTLE HEARTS ENGLISH MEDIUM HIGH SCHOOL,HOSAHALLI ROAD,GANGAVATI TQ,KOPPAL DIST,,NA,U,U,GANGAVATHI,KOPPAL
44,RA0214,RA02,SRI MORARJI DESAI,RESIDENTIAL SCHOOL (MINORITY),KOPPAL DIST,,,583236,G,U,KOPPAL,KOPPAL
45,RA0215,RA02,MORARJI DESAI,RESI SCHOOL (BACKWORD CLASS),"KOPALA, KOPALA TQ",KOPPAL DIST,,NA,G,U,KOPPAL,KOPPAL
46,RA0216,RA04,SRI MORARJI DESAI RESI S (MINORITY),KUKANURA,YALBURGA TQ,KOPPAL DIST,,583232,G,R,YELBURGA,KOPPAL
47,RR0262,RR01,GOVT HIGH SCHOOL,N GANEKAL,DEVADURGA TQ,RAICHUR DIST,,584136,G,R,DEVADURGA,RAICHUR
48,RR0263,RR01,GOVT HIGH SCHOOL,KAMALADINNI,DEVADURGA TQ,RAICHUR DIST,,NA,G,R,DEVADURGA,RAICHUR
49,RR0264,RR01,GOVT HIGH SCHOOL,MADARAKAL (GABBURA),DEVADURGA TQ,RAICHUR DIST,,584113,G,R,DEVADURGA,RAICHUR
50,RR0265,RR01,GOVT HIGH SCHOOL,HIRERAYA KUMPI,DEVADURGA TQ,RAICHUR DIST,,584113,G,R,DEVADURGA,RAICHUR
51,RR0266,RR02,GOVT HIGH SCHOOL,NILOGAL CROSS,LINGASAGURU TQ,RAICHUR DIST,,584117,G,R,LINGASUGUR,RAICHUR
52,RR0267,RR02,GOVT HIGH SCHOOL,LINGASAGURU TOWN,LINGASAGURU TQ,RAICHUR DIST,,584122,G,U,LINGASUGUR,RAICHUR
53,RR0268,RR02,GOVT HIGH SCHOOL,NIRALAKERI,LINGASAGURU TQ,RAICHUR DIST,,584122,G,R,LINGASUGUR,RAICHUR
54,RR0269,RR02,GOVT HIGH SCHOOL,YARADONA,LINGASAGURU TQ,RAICHUR DIST,,584115,G,R,LINGASUGUR,RAICHUR
55,RR0270,RR02,GOVT HIGH SCHOOL,MARALADINNI,LINGASAGURU TQ,RAICHUR DIST,,584122,G,R,LINGASUGUR,RAICHUR
56,RR0271,RR02,GOVT URDU  HIGH SCHOOL,LINGASAGURU,LINGASAGURU TQ,RAICHUR DIST,,NA,G,U,LINGASUGUR,RAICHUR
57,RR0272,RR03,GOVT HIGH SCHOOL,CHAGABHAVI,MANVI TQ,RAICHUR DIST,,NA,G,R,MANVI,RAICHUR
58,RR0273,RR03,GOVT HIGH SCHOOL,SANGAPUR,MANVI TQ,RAICHUR DIST,,584123,G,R,MANVI,RAICHUR
59,RR0274,RR03,GOVT HIGH SCHOOL,NAVALAKAL,MANVI TQ,RAICHUR DIST,,584129,G,R,MANVI,RAICHUR
60,RR0275,RR05,GOVT HIGH SCHOOL,SIDRAMPUR,SINDHANURU TQ,RAICHUR DIST,,584128,G,R,SINDHANUR,RAICHUR
61,RR0276,RR05,GOVT HIGH SCHOOL,HAMPANALA,SINDHANUR TQ,RAICHUR DIST,,584124,G,R,SINDHANUR,RAICHUR
62,RR0277,RR05,GOVT HIGH SCHOOL,CHANNALLI,SINDHUNURU TQ,RAICHUR DIST,,583229,G,R,SINDHANUR,RAICHUR
63,RR0278,RR05,GOVT HIGH SCHOOL,GUNJAHALLI,SINDHANUR TQ,RAICHUR DIST,,NA,G,R,SINDHANUR,RAICHUR
64,RR0279,RR05,GOVT URDU  HIGH SCHOOL,SALAGUNDA,SINDHANUR TQ,RAICHUR DIST,,NA,G,R,SINDHANUR,RAICHUR
65,RR0280,RR05,SRI SHIVAYOGI CHANNABASAVESWARA,GOVT HIGH SCHOOL,"OLABALLARI, SINDHANUR TQ",RAICHUR DIST,,NA,G,R,SINDHANUR,RAICHUR
66,RR0281,RR02,SRI MORARJI DESAI MODEL RESI S,DEVARABHUPURA,LINGASAGURU TQ,RAICHUR DIST,,NA,G,R,LINGASUGUR,RAICHUR
67,RR0282,RR03,SRI MORARJI DESAI MODEL RESI SCHOOL,RAJALABANDA,MANVI TQ,RAICHUR DIST,,584123,G,R,MANVI,RAICHUR
68,RR0283,RR03,SRI MORAJI DESAI MODEL RESI SCHOOL,SINDHANURU ROAD MANVI,MANVI TQ,RAICHUR DIST,,584123,G,U,MANVI,RAICHUR
69,RR0284,RR03,GOVT HIGH SCHOOL,HIRA,MANVI TQ,RAICHUR DIST,,584129,G,R,MANVI,RAICHUR
70,RR0285,RR03,GOVT HIGH SCHOOL,TORANADINNI,MANVI TQ,RAICHUR DIST,,584120,G,R,MANVI,RAICHUR
71,RR0286,RR05,GOVT HIGH SCHOOL,SUKALAPETE,SINDHANUR TQ,RAICHUR DIST,,584128,G,U,SINDHANUR,RAICHUR
72,QA0143,QA04,GOVT HIGH SCHOOL,ALLIPURA,YADAGIR TQ,YADGIR DIST,,585202,G,R,YADGIR,YADAGIRI
73,TT0328,TT03,NIVEDITHA HIGH SCHOOL,"SANDOOR ROAD, HOSAPETE","HOSAPETE TQ,  BALLARI DIST.,",,,NA,U,U,HOSPET,BELLARY
74,TT0329,TT05,SHRI SHARANA BASAWESHWARA,"PHY HANDICAPPED SCHOOL,","KANAMADAGU, KUDLIGI TQ","BALLARI DIST.,",,NA,U,R,KUDLIGI,BELLARY
75,TT0330,TT02,"SHRI RENUKA PHY HANDICAPPED RESI.,","SCHOOL, HAGARIBOMMANAHALLI","TALUK, BALLARI DIST.,",,,NA,U,R,HAGARIBOMMANAHALLI,BELLARY
76,TT0331,TT03,S P D J H GIRLS HIGH SCHOOL,"KAMPLI, HOSAPETE TQ","BALLARI DIST.,",,,NA,U,U,HOSPET,BELLARY
77,TT0332,TT03,SHRI SAI KAN HIGH SCHOOL,NEAR VEERBADRESWARA THEATRE,"MARIYAMMANAHALLI,","HOSAPETE TQ, BALLARI",,NA,U,R,HOSPET,BELLARY
78,TT0333,TT03,ARUNODAYA ST MARY'S ENG MED,"HIGH SCHOOL, VADDARAHALLI,","PAPINAYAKANAHALLI, HOSAPETE","TQ, BALLARI DIST.,",,583223,U,R,HOSPET,BELLARY
79,TT0334,TT07,SWATI HIGH SCHOOL,"NEAR BUS STOP, KARURU,",SIRAGUPPA TQ,"BALLARI DIST.,",,583120,U,R,SIRUGUPPA,BELLARY
80,BA0214,BA04,GOVT COMP HIGH SCHOOL,"RAMANAGARA TOWN AND TQ,","RAMANAGARA DIST.,",,,NA,G,U,RAMANAGARA,RAMANAGARA
81,BA0215,BA04,GOVT HIGH SCHOOL,"SHANUBHOGANAHALLI,","KOOTAGAL HOBLI,","RAMANAGARA TQ & DIST.,",,NA,G,R,RAMANAGARA,RAMANAGARA
82,BA0216,BA04,GOVT COMP HIGH SCHOOL,"LAKKOJANAHALLI, KAILANCHA HOBLI,","RAMANAGARA TQ & DIST.,",,,NA,G,R,RAMANAGARA,RAMANAGARA
83,BA0217,BA03,GOVT COMP HIGH SCHOOL,"SREEPATIHALLI, MAGADI TQ","RAMANAGARA DIST.,",,,NA,G,R,MAGADI,RAMANAGARA
84,BA0218,BA04,GOVT COMP HIGH SCHOOL,"TOREDODDI, BIDADI HOBLI,","RAMANAGARA TQ & DIST.,",,,NA,G,R,RAMANAGARA,RAMANAGARA
85,BA0219,BA03,GOVT COMP HIGH SCHOOL,"SANKIGHATTA, MAGADI TQ","RAMANAGARA DIST.,",,,NA,G,R,MAGADI,RAMANAGARA
86,BA0220,BA02,GOVT COMP HIGH SCHOOL,"ACHCHALU, KANAKAPURA TQ","RAMANAGARA DIST.,",,,NA,G,R,KANAKAPURA,RAMANAGARA
87,BA0221,BA04,GOVT COMP HIGH SCHOOL,"ARALALUSANDRA, BIDADI HOBLI,","RAMANAGARA TQ & DIST.,",,,NA,G,R,RAMANAGARA,RAMANAGARA
88,BA0222,BA04,GOVT COMP HIGH SCHOOL,"SHESHAGIRIHALLI, HEJJALA POST,","BIDADI HOBLI, RAMANAGARA","TQ & DIST.,",,562109,G,R,RAMANAGARA,RAMANAGARA
89,BA0223,BA02,GOVT COMP HIGH SCHOOL,"CHAKANAHALLI, KANAKAPURA TQ","RAMANAGARA DIST.,",,,NA,G,R,KANAKAPURA,RAMANAGARA
90,EE0546,EE07,GOVERNMENT HIGH SCHOOL,GOVT HIGH SCHOOL,"HURA, NANJANAGUDU TQ", MYSURU DIST,,571315,G,R,NANJANAGUD,MYSORE
91,EE0547,EE02,SRI CAUVERY  HIGH SCHOOL,"BY PASS ROAD, HUNSUR TOWN",HUNSUR TQ,MYSURU DIST,,571105,U,U,HUNSUR,MYSORE
92,EE0548,EE04,B T L VIDYAVAHINI HIGH SCHOOL,"KESARE, KESARE-2, MYSURU",MYSURU NORTH TQ,MYSURU DIST,,570007,U,U,MYSORE NORTH,MYSORE
93,EE0549,EE06,SRI MORARJI DESAI MODEL (S C ),"RESI. SHCOOL , VARAKODU", MYSURU RURAL TQ,MYSURU DIST,,570010,G,R,MYSORE RURAL,MYSORE
94,FF0393,FF08,GOVT COMPOSITE HIGH SCHOOL,K SHETTYHALLY,SRIRANGAPATTANA TQ,MANDYA DIST,,NA,G,R,SRIRANGAPATTANA,MANDYA
95,FF0394,FF02,GOVT COMPOSITE HIGH SCHOOL,BOPPASAMUDRA,MADDUR TQ,MANDYA DIST,,571422,G,R,MADDUR,MANDYA
96,FF0395,FF03,GOVERNMENT HIGH SCHOOL,CHIKKABAGILU,B G PURA HOBLI,MALAVALLY TQ MANDYA DIST,,571463,G,R,MALAVALLY,MANDYA
97,FF0396,FF03,GOVERNMENT  HIGH SCHOOL,"ALADAHALLY, KASABA HOBLI",MALAVALLY TQ,MANDYA DIST,,571430,G,R,MALAVALLY,MANDYA
98,FF0397,FF02,POORNA PRAJNA ENGLISH MEDIUM HIGH SCHOOL,SHIVAPURA,MADDUR TQ,MANDYA DIST,,571429,U,U,MADDUR,MANDYA
99,FF0398,FF08,GOVERNMENT  HIGH SCHOOL,BABURAYANA KOPPALU,SRIRANGAPATTANA TALUK,MANDYA DIST,,571807,G,R,SRIRANGAPATTANA,MANDYA
100,FF0399,FF01,GOVERNMENT  HIGH SCHOOL,"THENDEKERE, SHEELANERE HOBLI",KRISHNARAJAPET TQ,MANDYA DIST,,571426,G,R,KRISHNARAJA PET,MANDYA
101,FF0400,FF03,GOVERNMENT  HIGH SCHOOL,MIKKERE,MALAVALLY TQ,MANDYA DIST,,571424,G,R,MALAVALLY,MANDYA
102,FF0401,FF01,GOVERNMENT HIGH SCHOOL,"HOSAHOLALU, KASABA HOBLI",KRISHNARAJAPET TQ,MANDYA DIST,,571426,G,U,KRISHNARAJA PET,MANDYA
103,FF0402,FF01,GOVERNMENT HIGH SCHOOL ( KAN. MEDIUM),AGRAHARA BACHAHALLY,KRISHNARAJAPET TALUK,MANDYA DIST,,NA,G,R,KRISHNARAJA PET,MANDYA
104,FF0403,FF01,BACKWARD CLASSES MORARJI DESAI,"RESI SCHOOL ,HOSA HOLALU",KRISHNARAJAPET TOWN AND TQ,MANDYA DIST,,571426,G,U,KRISHNARAJA PET,MANDYA
105,FF0404,FF04,GOVT COMPOSITE HIGH SCHOOL,"A HULKERE, SRIRANGAPATTANA KSHETHRA",MANDYA SOUTH TQ,MANDYA DIST,,571402,G,R,MANDYA SOUTH,MANDYA
106,FF0405,FF06,GOVERNMENT HIGH SCHOOL,"SHETTY HALLY, KUDUGUBALU POST",DEVALAPURA HOBLI,NAGAMANGALA TQ MANDYA DIST,,571445,G,R,NAGAMANGALA,MANDYA
107,GA0262,GA03,LITTLE FLOWER ENGLISH MEDIUM HIGH SCHOOL,"RANGANAPALKE, KOWDOOR",KARKALA TALUK,UDUPI DISTRICT,,574317,U,R,KARKALA,UDUPI
108,GG0427,GG02,GOVERNMENT HIGH SCHOOL,NARAVI,BELTHANGADY TALUK,DAKSHINA KANNADA DISTRICT,,574109,G,R,NA,DAKSHINA KANNADA
109,GG0428,GG02,GOVERNMENT HIGH SCHOOL,"SARALIKATTE, THEKKARU POST",BELTHANGADY TALUK,DAKSHINA KANNADA DISTRICT,,574241,G,R,NA,DAKSHINA KANNADA
110,GG0429,GG04,GOVERNMENT HIGH SCHOOL,MUCHURU,MANGALURU RURAL TALUK,DAKSHINA KANNADA DISTRICT,,574144,G,R,NA,DAKSHINA KANNADA
111,GG0430,GG04,MINORITIES GIRLS MORARJI DESAI RESIDENTIAL SCHOOL,ULLALA (DERALAKATTE) MANGALURU,MANGALURU RURAL TALUK,DAKSHINA KANNADA DISTRICT,,575018,G,R,NA,DAKSHINA KANNADA
112,GG0431,GG03,GOVERNMENT HIGH SCHOOL,"SADASHIVANAGAR, KARNADU-MULKI","MANGALURU, MANGALURU RURAL TALUK",DAKSHINA KANNADA DIST,,574154,G,U,NA,DAKSHINA KANNADA
113,GG0432,GG07,K.S.G. ENGLISH MEDIUM HIGH SCHOOL,"PANJA, VARSHA NAGARA,","NINTHIKALLU, SULLIA TALUK",DAKSHINA KANNADA DISTRICT,,574328,U,R,NA,DAKSHINA KANNADA
114,GG0433,GG06,BETHANY ENGLISH MEDIUM HIGH SCHOOL,"PANGLAI, DARBE",PUTTUR TALUK,DAKSHINA KANNADA DISTRICT,,574202,U,U,NA,DAKSHINA KANNADA
115,GG0434,GG03,HOLY FAMILY ENGLISH MEDIUM HIGH SCHOOL,"BAJPE, MANGALURU",MANGALURU RURAL TALUK,DAKSHINA KANNADA DISTRICT,,574142,U,R,NA,DAKSHINA KANNADA
116,GG0435,GG03,KHILRIYA ENGLISH MEDIUM HIGH SCHOOL,"IDDYA (WEST), SURATHKAL",MANGALURU RURAL TALUK,DAKSHINA KANNADA DISTRICT,,575014,U,U,NA,DAKSHINA KANNADA
117,GG0436,GG03,M.C.T ENGLISH MEDIUM HIGH SCHOOL,"K S RAO NAGAR , KENCHANAKERE- POST KILPADY VILLAGE",NEAR MULKI RLY STN MANGALURU RURAL TALUK,DAKSHINA KANNADA DISTRICT,,574154,U,R,NA,DAKSHINA KANNADA
118,GG0437,GG06,SAINT JOHN'S ENGLISH MEDIUM HIGH SCHOOL,"KAUKRADY, KOKKADA POST",PUTTUR TALUK,DAKSHINA KANNADA DISTRICT,,574198,U,R,NA,DAKSHINA KANNADA
119,GG0438,GG01,GEM ENGLISH MEDIUM HIGH SCHOOL,"GOLTHAMAJALU, KALLADKA POST",BANTWALA TALUK,DAKSHINA KANNADA DISTRICT,,574222,U,R,NA,DAKSHINA KANNADA
120,GG0439,GG01,JNANADEEPA ENGLISH MEDIUM HIGH SCHOOL,"KURNADU POST, MUDIPU, PAJEERU VILLAGE",BANTWALA TALUK,DAKSHINA KANNADA DISTRICT,,574153,U,R,NA,DAKSHINA KANNADA
121,GG0440,GG05,ALVA'S ENGLISH MEDIUM HIGH SCHOOL,"VIDYAGIRI, MOODABIDARE AT & POST",MOODABIDARE TALUK,DAKSHINA KANNADA DISTRICT,,574227,U,R,NA,DAKSHINA KANNADA
122,GG0441,GG04,BHAGAVATHY ENGLISH MEDIUM HIGH SCHOOL,"SANKOLIGE, SOMESHWARA, UCHILA,",MANGALURU RURAL TALUK,DAKSHINA KANNADA DISTRICT,,575023,U,R,NA,DAKSHINA KANNADA
123,GG0442,GG06,SUBODHA ENGLISH MEDIUM HIGH SCHOOL,PANAJE,PUTTUR TALUK,DAKSHINA KANNADA DISTRICT,,574259,U,R,NA,DAKSHINA KANNADA
124,GG0425,GG01,SAINT JOHN'S ENG MEDIUM HIGH SCHOOL,"ALLIPADE,",BANTWALA TALUK,DAKSHINA KANNADA DIST,,574211,U,R,NA,DAKSHINA KANNADA
125,GG0426,GG01,DARUL IRSHAD BOYS HIGH SCHOOL,"MITHUR, IDKIDU POST",BANTWALA TALUK,DAKSHINA KANNADA DIST,,574220,U,R,NA,DAKSHINA KANNADA
126,HH0148,HH02,BACKWARD CLASSES MORARJI DESAI,RESIDENTIAL SCHOOL,ALUR-SIDDAPURA,"SOMAWARAPET TQ, KODAGU DIST,",,571235,G,R,SOMVARPET,KODAGU
127,EE0564,EE06,VIDYA VIKASA HIGH SCHOOL,"ALANAHALLY EXTENSION, MYSURU",MYSURU RURAL TALUK,MYSURU DISTRICT,,570010,U,R,MYSORE RURAL,MYSORE
128,JJ0312,JJ05,SCHEDULED CASTE MORARJI DESAI ,"RESIDENTIAL SCHOOL,BIDARAHALLY",MUDIGERE TALUK,CHICKMAGALUR DISTRICT,,577132,G,R,MOODIGERE,CHIKKAMANGALORE
129,AS0929,AS01,GOVT HIGH SCHOOL,AGARA,THATHAGUNI POST,BENGALURU SOUTH DIST,,NA,G,U,SOUTH1,BANGALORE U SOUTH
130,SS0427,SS02,"UPGRADED GOVERNMENT HIGH SCHOOL,",KALAKHORA,"BASAVAKALYANA TALUQ,",BIDAR DISTRICT,,NA,G,R,BASAVAKALYAN,BIDAR
131,SS0428,SS04,SAI GNYAN  HIGH SCHOOL,"NEAR R.T.O,","BACHCHA LAYOUT,","NEAR AIR FORCE GATE, BIDAR TALUQ",BIDAR DISTRICT,585401,U,U,BIDAR,BIDAR
132,SS0429,SS02,TARADEVI BIRADAR HIGH SCHOOL,TADOLA,BASAVA KALYANA TALUQ,BIDAR DISTRICT,,NA,U,R,BASAVAKALYAN,BIDAR
133,SS0430,SS02,JNANAPRIYA HIGH SCHOOL,HALASUR ROAD,BASAVAKALYANA TALUQ,BIDAR DISTRICT,,NA,U,U,BASAVAKALYAN,BIDAR
134,SS0431,SS04,SARDAR JOGA SINGH HIGH SCHOOL,NISHAN SAHEBA,GURUNANAK COLONY,BIDAR,BIDAR DISTRICT,NA,U,U,BIDAR,BIDAR
135,SS0432,SS05,JNANA DARSHANA HIGH SCHOOL,OPPOSITE POST OFFICE,CHITAGUPPA,HUMNABAD TALUQ,BIDAR DISTRICT,NA,U,U,HUMNABAD,BIDAR
136,SS0433,SS04,KALYANA CO EDUCATION HIGH SCHOOL,SHIVANAGAR (SOUTH),MAHADEV COLONY,BIDAR,,585401,U,U,BIDAR,BIDAR
137,QQ0537,QQ08,GOVT HIGH SCHOOL,"RIBBAN PALLI,","SEDUM TALUK,",KALABURAGI DIST,,NA,G,R,SEDAM,GULBARGA
138,MA0315,MA03,GOVT HIGH SCHOOL,HALERITTI,HAVERI TQ,HAVERI DIST,,581213,G,R,HAVERI,HAVERI
139,AS0930,AS05,JUVAIRIAH HIGH SCHOOL,SHIKARIPALYA,HEBBAGODI ROAD,"ANEKAL TQ, BENGALURU SOUTH",,NA,U,R,ANEKAL,BANGALORE U SOUTH
140,NA0423,NA07,MORARJI DESAI RESI SCHOOL (BCM),MALLAPURA -5891306,GOKAK TQ CHIKKOD EDN DIST,BELAGAVI DIST,,NA,G,R,GOKAK,BELGAUM CHIKKODI
141,NA0424,NA01,ADARSHA KAN MED HIGH SCHOOL,AIGALI ATHANI TQ,CHIKKODI EDN DIST,BELAGAVI DIST,,NA,U,R,ATHANI,BELGAUM CHIKKODI
142,NA0425,NA02,SHRI ARIHANT MARATHI MED HIGH SCHOOL,"BORGAON, NIPPANI TQ",CHIKKODI EDN DIST,BELAGAVI DIST,,NA,U,R,CHIKODI,BELGAUM CHIKKODI
143,NA0426,NA03,C T E SOCIETY'S ENG MED SCHOOL,CHIKKODI,CHIKKOD EDN DIST,BELAGAVI DIST,,591201,U,U,CHIKODI,BELGAUM CHIKKODI
144,NA0427,NA05,SRI JAGADGURU PANCHACHARYA KAN MED HIGH SCHOOL,NIDASOSI ROAD,SANKESHWAR  HUKKERI TQ,CHIKKODI EDN DIST BELAGAVI DIST,,NA,U,U,HUKKERI,BELGAUM CHIKKODI
145,NA0428,NA03,SRI KUND KUNDA CHARYA EDN SOCIETY KAN MED HIGH SCHOOL,"CHIKKODI,",CHIKKODI EDN DIST BELAGAVI DIST,,,NA,U,U,CHIKODI,BELGAUM CHIKKODI
