Column1,sslccode,talukcode,schoolname,address1,address2,address3,address4,pincode,management,urban,taluk,dist
7708,CC0192,CC06,SRI MORARJI MODEL RESIDENTIAL SCHOOL,SOMAYAJALAHALLI,SRINIVASAPUR TQ,KOLAR DIST,,NA,G,R,SRINIVASAPUR,KOLAR
7709,IA0319,IA05,GOVT. HIGH SCHOOL,"Kadaranayakana Hally, Harihar Taluk",KADARANAYAKANAHALLI,HARIHARA TQ,,NA,G,R,HARIHARA,DAVANAGERE
7710,IA0320,IA07,DIVYA BHARATHI HIGH SCHOOL, JAGALUR,DAVANGERE DIST,,,NA,A,U,JAGALUR,DAVANAGERE
7711,GA0197,GA01,H M M S ENGLISH MED HIGH SCHOOL,"BYNDOOR,KUNDAPURA TALUK",UDUPI.DT,,,NA,U,R,BYNDOOR,UDUPI
7712,IA0321,IA03,MARUTHI HIGH SCHOOL,MARUTHI HIGH SCHOOL,NITTUVALLI NEW EXTN,DAVANAGERE,,NA,A,U,DAVANAGERE(S),DAVANAGERE
7713,GA0198,GA05,ST. FRANCIS ENGLISH MED HIGH SCHOOL,MUDARANGADI  PILAR POST UDUPI TALUK,UDUPI DISTRICT,,,574113,U,R,UDUPI,UDUPI
7714,IA0322,IA07,NAVACHETHANA HIGH SCHOOL,"R.P. ROAD,  JAGALUR",DAVANGERE DIST,,,NA,U,U,JAGALUR,DAVANAGERE
7715,IA0323,IA03,VISHWA CHETANA VIDYANIKETANA RES.HIGH SCHOOL,SHIRAMAGONDANAHALLI,DAVANAGERE TQ.,,,NA,U,R,DAVANAGERE(S),DAVANAGERE
7716,IA0324,IA01,SRI BASAVESWARA HIGH SCHOOL,BELLIGANUDU,CHANNAGIRI TQ,DAVANAGERE DIST,,NA,U,R,CHANNAGIRI,DAVANAGERE
7717,IA0325,IA02,SMT.DEVEERAMMA KARUVATTEPPA GIRLS HIGH SCHOOL,ANAJI 577512,DAVANAGERE TQ,,,NA,A,R,DAVANAGERE(N),DAVANAGERE
7718,GA0199,GA04,MORARJI DEASAI RESIDENTIAL HIGH SCHOOL,BRAHMAVARA,UDUPI  TALUK,UDUPI DISTRICT,,NA,G,R,BRAHAMAVARA,UDUPI
7719,IA0326,IA05,MORARJI DESAI RESIDENTIAL HIGH SCHOOL,"Devarabelakere, Harihar Taluk",DEVARABELAKERE,HARIHARA TQ,,NA,G,R,HARIHARA,DAVANAGERE
7720,IA0328,IA05,SRI MORARJI DESAI RESIDENTIAL SCHOOL,NANDIGUDI,HARIHARA  TQ.,,,NA,G,R,HARIHARA,DAVANAGERE
