Block_Name,District,Year,Schools
SIRA,TUMKUR MADHUGIRI,2005,455
SIRSI,UTTARA KANNADA SIRSI,2005,298
SIRUGUPPA,BELLARY,2005,204
SOMAVARPET,KODAGU,2005,177
SORAB,SHIMOGA,2005,327
SOUNDATTI,BELGAUM,2005,251
SRINGERI,CHIKKAMANGALORE,2005,82
SRINIVASAPUR,KOLAR,2005,366
SRIRANGA PATNA,MANDYA,2005,169
SULLIA,DAKSHINA KANNADA,2005,162
T.N.PURA,MYSORE,2005,269
TARIKERE,CHIKKAMANGALORE,2005,308
THIRTHAHALLI,SHIMOGA,2005,271
TIPTUR,TUMKUR,2005,335
TUMKUR,TUMKUR,2005,671
TURUVEKERE,TUMKUR,2005,342
UDUPI,UDUPI,2005,358
VIRAJPET,KODAGU,2005,168
YADGIR,YADAGIRI,2005,276
YELANDUR,CHAMARAJANAGARA,2005,72
YELBURGA,KOPPAL,2005,196
YELLAPUR,UTTARA KANNADA SIRSI,2005,187
AFZALPUR,GULBARGA,2006,174
ALAND,GULBARGA,2006,283
ALUR,HASSAN,2006,203
ANKOLA,UTTARA KANNADA,2006,171
ARAKALAGUDU,HASSAN,2006,363
ARASIKERE,HASSAN,2006,479
ATHANI,BELGAUM CHIKKODI,2006,494
AURAD,BIDAR,2006,294
BADAMI,BAGALKOT,2006,275
BAGALKOT,BAGALKOT,2006,218
BAGEPALLY,CHIKKABALLAPURA,2006,336
BAILHONGAL,BELGAUM,2006,283
BANGARAPETE,KOLAR,2006,550
BANTWAL,DAKSHINA KANNADA,2006,289
BASAVAKALYAN,BIDAR,2006,279
BASAVAN  BAGEWADI,BIJAPUR,2006,307
BELGAUM CITY,BELGAUM,2006,225
BELGAUM RURAL.,BELGAUM,2006,320
BELTHANGADY,DAKSHINA KANNADA,2006,221
BELUR,HASSAN,2006,362
BHADRAVATI,SHIMOGA,2006,346
BHALKI,BIDAR,2006,246
BHATKAL,UTTARA KANNADA,2006,188
BIDAR,BIDAR,2006,359
BILAGI,BAGALKOT,2006,145
BYADAGI,HAVERI,2006,117
CHALLAKERE,CHITRADURGA,2006,395
CHAMARAJA NAGAR,CHAMARAJANAGARA,2006,313
CHANNAGIRI,DAVANAGERE,2006,334
CHANNAPATNA,RAMANAGARA,2006,275
CHANNARAYAPATNA,HASSAN,2006,474
CHIKKABALLAPUR,CHIKKABALLAPURA,2006,281
CHIKMAGALUR,CHIKKAMANGALORE,2006,467
CHIKNAYAKANHALLI,TUMKUR,2006,368
CHIKODI,BELGAUM CHIKKODI,2006,298
CHINCHOLI,GULBARGA,2006,259
CHINTAMANI,CHIKKABALLAPURA,2006,410
CHITRADURGA,CHITRADURGA,2006,405
CHITTAPUR,GULBARGA,2006,324
DAVANAGERE(N),DAVANAGERE,2006,235
DAVANAGERE(S),DAVANAGERE,2006,288
DEVADURGA,RAICHUR,2006,249
DEVANAHALLI,BANGALORE RURAL,2006,251
DHARWAD,DHARWAD,2006,310
