Block_Name,District,Year,Schools
SHIMOGA,SHIMOGA,2008,475
SHIRHATTI,GADAG,2008,159
SHORAPUR,YADAGIRI,2008,385
SIDDAPUR,UTTARA KANNADA SIRSI,2008,233
SIDLAGHATTA,CHIKKABALLAPURA,2008,304
SINDAGI,BIJAPUR,2008,391
SINDHANUR,RAICHUR,2008,384
SIRA,TUMKUR MADHUGIRI,2008,460
SIRSI,UTTARA KANNADA SIRSI,2008,320
SIRUGUPPA,BELLARY,2008,226
SOMAVARPET,KODAGU,2008,195
SORAB,SHIMOGA,2008,326
SOUNDATTI,BELGAUM,2008,257
SRINGERI,CHIKKAMANGALORE,2008,76
SRINIVASAPUR,KOLAR,2008,374
SRIRANGA PATNA,MANDYA,2008,176
SULLIA,DAKSHINA KANNADA,2008,166
T.N.PURA,MYSORE,2008,265
TARIKERE,CHIKKAMANGALORE,2008,282
THIRTHAHALLI,SHIMOGA,2008,271
TIPTUR,TUMKUR,2008,329
TUMKUR,TUMKUR,2008,668
TURUVEKERE,TUMKUR,2008,338
UDUPI,UDUPI,2008,168
VIRAJPET,KODAGU,2008,179
YADGIR,YADAGIRI,2008,326
YELANDUR,CHAMARAJANAGARA,2008,72
YELBURGA,KOPPAL,2008,223
YELLAPUR,UTTARA KANNADA SIRSI,2008,196
AFZALPUR,GULBARGA,2009,206
ALAND,GULBARGA,2009,318
ALUR,HASSAN,2009,197
ANKOLA,UTTARA KANNADA,2009,174
ARAKALAGUDU,HASSAN,2009,361
ARASIKERE,HASSAN,2009,500
ATHANI,BELGAUM CHIKKODI,2009,414
AURAD,BIDAR,2009,339
BADAMI,BAGALKOT,2009,283
BAGALKOT,BAGALKOT,2009,243
BAGEPALLY,CHIKKABALLAPURA,2009,355
BAILHONGAL,BELGAUM,2009,288
BANGARAPETE,KOLAR,2009,383
BANTWAL,DAKSHINA KANNADA,2009,298
BASAVAKALYAN,BIDAR,2009,323
BASAVAN  BAGEWADI,BIJAPUR,2009,353
BELGAUM CITY,BELGAUM,2009,229
BELGAUM RURAL.,BELGAUM,2009,325
BELTHANGADY,DAKSHINA KANNADA,2009,228
BELUR,HASSAN,2009,358
BHADRAVATI,SHIMOGA,2009,357
BHALKI,BIDAR,2009,326
BHATKAL,UTTARA KANNADA,2009,196
BIDAR,BIDAR,2009,490
BILAGI,BAGALKOT,2009,165
BYADAGI,HAVERI,2009,125
CHALLAKERE,CHITRADURGA,2009,432
CHAMARAJA NAGAR,CHAMARAJANAGARA,2009,326
CHANNAGIRI,DAVANAGERE,2009,348
CHANNAPATNA,RAMANAGARA,2009,288
CHANNARAYAPATNA,HASSAN,2009,472
CHIKKABALLAPUR,CHIKKABALLAPURA,2009,303
CHIKMAGALUR,CHIKKAMANGALORE,2009,427
CHIKNAYAKANHALLI,TUMKUR,2009,356
CHIKODI,BELGAUM CHIKKODI,2009,315
CHINCHOLI,GULBARGA,2009,307
CHINTAMANI,CHIKKABALLAPURA,2009,439
CHITRADURGA,CHITRADURGA,2009,420
CHITTAPUR,GULBARGA,2009,358
DAVANAGERE(N),DAVANAGERE,2009,246
DAVANAGERE(S),DAVANAGERE,2009,287
DEVADURGA,RAICHUR,2009,347
DEVANAHALLI,BANGALORE RURAL,2009,269
DHARWAD,DHARWAD,2009,213
DODDABALLAPURA,BANGALORE RURAL,2009,408
GANGAVATHI,KOPPAL,2009,418
GOKAK,BELGAUM CHIKKODI,2009,220
GOWRIBIDANUR,CHIKKABALLAPURA,2009,356
GUBBI,TUMKUR,2009,450
GUDIBANDA,CHIKKABALLAPURA,2009,115
GUNDULPET,CHAMARAJANAGARA,2009,213
H.D.KOTE,MYSORE,2009,360
HADAGALI,BELLARY,2009,181
HAGARIBOMMANAHALLI,BELLARY,2009,162
HALIYAL,UTTARA KANNADA SIRSI,2009,180
HANAGAL,HAVERI,2009,260
HARAPANAHALLI,DAVANAGERE,2009,315
HARIHARA,DAVANAGERE,2009,206
HASSAN,HASSAN,2009,537
HAVERI,HAVERI,2009,211
HIREKERUR,HAVERI,2009,234
HIRIYUR,CHITRADURGA,2009,370
HOLALKERE,CHITRADURGA,2009,268
HOLENARASIPURA,HASSAN,2009,295
HONNALI,DAVANAGERE,2009,250
HONNAVAR,UTTARA KANNADA,2009,304
HOSADURGA,CHITRADURGA,2009,336
HOSAKOTE,BANGALORE RURAL,2009,320
HOSANAGAR,SHIMOGA,2009,245
HOSPET,BELLARY,2009,296
HUBLI,DHARWAD,2009,156
HUKKERI,BELGAUM CHIKKODI,2009,326
HUMNABAD,BIDAR,2009,313
HUNAGUND,BAGALKOT,2009,293
HUNSUR,MYSORE,2009,335
INDI,BIJAPUR,2009,331
JAMAKHANDI,BAGALKOT,2009,390
JEWARGI,GULBARGA,2009,287
JOIDA,UTTARA KANNADA SIRSI,2009,178
K.R.NAGARA,MYSORE,2009,269
KADUR,CHIKKAMANGALORE,2009,275
KALGHATAGI,DHARWAD,2009,138
KANAKAPURA,RAMANAGARA,2009,505
KARKALA,UDUPI,2009,218
KARWAR,UTTARA KANNADA,2009,190
KHANAPUR,BELGAUM,2009,359
KOLAR,KOLAR,2009,480
KOLLEGAL,CHAMARAJANAGARA,2009,132
KOPPA,CHIKKAMANGALORE,2009,148
KOPPAL,KOPPAL,2009,295
KORATAGERE,TUMKUR MADHUGIRI,2009,285
KRISHNARAJA PET,MANDYA,2009,381
KUDLIGI,BELLARY,2009,330
KUMTA,UTTARA KANNADA,2009,232
KUNDAGOL,DHARWAD,2009,123
KUNIGAL,TUMKUR,2009,465
KUSTAGI,KOPPAL,2009,246
LINGASUGUR,RAICHUR,2009,375
MADDUR,MANDYA,2009,307
MADHUGIRI,TUMKUR MADHUGIRI,2009,402
MADIKERI,KODAGU,2009,160
MAGADI,RAMANAGARA,2009,444
MALAVALLY,MANDYA,2009,311
MALUR,KOLAR,2009,354
MANVI,RAICHUR,2009,360
MOLAKALMUR,CHITRADURGA,2009,169
MOODIGERE,CHIKKAMANGALORE,2009,211
MUDDEBIHAL,BIJAPUR,2009,298
MUDHOL,BAGALKOT,2009,290
MULBAGAL,KOLAR,2009,422
MUNDAGOD,UTTARA KANNADA SIRSI,2009,143
MUNDARAGI,GADAG,2009,116
MYSORE RURAL,MYSORE,2009,297
NAGAMANGALA,MANDYA,2009,392
NANJANAGUD,MYSORE,2009,317
NARAGUND,GADAG,2009,67
NARASIMHARAJAPURA,CHIKKAMANGALORE,2009,114
NAVALGUND,DHARWAD,2009,134
NELAMANGALA,BANGALORE RURAL,2009,332
NIPPANI,BELGAUM CHIKKODI,2009,253
PANDAVAPURA,MANDYA,2009,218
PAVAGADA,TUMKUR MADHUGIRI,2009,273
PERIYA PATNA,MYSORE,2009,320
PUTTUR,DAKSHINA KANNADA,2009,231
RAIBAG,BELGAUM CHIKKODI,2009,395
RAICHUR,RAICHUR,2009,334
RAMANAGARA,RAMANAGARA,2009,367
RAMDURG,BELGAUM,2009,234
RON,GADAG,2009,203
SAGAR,SHIMOGA,2009,362
SAKALESHAPURA,HASSAN,2009,209
SANDUR,BELLARY,2009,193
SAVANUR,HAVERI,2009,126
SEDAM,GULBARGA,2009,263
SHAHAPUR,YADAGIRI,2009,331
SHIGGOAN,HAVERI,2009,189
SHIKARIPUR,SHIMOGA,2009,277
SHIMOGA,SHIMOGA,2009,477
SHIRHATTI,GADAG,2009,167
SHORAPUR,YADAGIRI,2009,398
SIDDAPUR,UTTARA KANNADA SIRSI,2009,235
SIDLAGHATTA,CHIKKABALLAPURA,2009,302
SINDAGI,BIJAPUR,2009,398
SINDHANUR,RAICHUR,2009,389
SIRA,TUMKUR MADHUGIRI,2009,470
SIRSI,UTTARA KANNADA SIRSI,2009,323
SIRUGUPPA,BELLARY,2009,230
SOMAVARPET,KODAGU,2009,195
SORAB,SHIMOGA,2009,326
SOUNDATTI,BELGAUM,2009,274
SRINGERI,CHIKKAMANGALORE,2009,76
SRINIVASAPUR,KOLAR,2009,377
SRIRANGA PATNA,MANDYA,2009,170
SULLIA,DAKSHINA KANNADA,2009,166
T.N.PURA,MYSORE,2009,270
TARIKERE,CHIKKAMANGALORE,2009,272
THIRTHAHALLI,SHIMOGA,2009,271
TIPTUR,TUMKUR,2009,332
TUMKUR,TUMKUR,2009,674
TURUVEKERE,TUMKUR,2009,341
UDUPI,UDUPI,2009,171
VIRAJPET,KODAGU,2009,180
YADGIR,YADAGIRI,2009,345
YELANDUR,CHAMARAJANAGARA,2009,73
YELBURGA,KOPPAL,2009,228
YELLAPUR,UTTARA KANNADA SIRSI,2009,195
AFZALPUR,GULBARGA,2010,217
ALAND,GULBARGA,2010,329
ALUR,HASSAN,2010,200
ANKOLA,UTTARA KANNADA,2010,171
ARAKALAGUDU,HASSAN,2010,363
ARASIKERE,HASSAN,2010,501
ATHANI,BELGAUM CHIKKODI,2010,412
AURAD,BIDAR,2010,364
BADAMI,BAGALKOT,2010,286
BAGALKOT,BAGALKOT,2010,243
BAGEPALLY,CHIKKABALLAPURA,2010,349
BAILHONGAL,BELGAUM,2010,295
BANGARAPETE,KOLAR,2010,385
BANTWAL,DAKSHINA KANNADA,2010,299
BASAVAKALYAN,BIDAR,2010,333
BASAVAN  BAGEWADI,BIJAPUR,2010,373
BELGAUM CITY,BELGAUM,2010,242
BELGAUM RURAL.,BELGAUM,2010,330
BELTHANGADY,DAKSHINA KANNADA,2010,228
BELUR,HASSAN,2010,366
BHADRAVATI,SHIMOGA,2010,357
BHALKI,BIDAR,2010,337
BHATKAL,UTTARA KANNADA,2010,197
BIDAR,BIDAR,2010,521
BILAGI,BAGALKOT,2010,169
BYADAGI,HAVERI,2010,126
CHALLAKERE,CHITRADURGA,2010,437
CHAMARAJA NAGAR,CHAMARAJANAGARA,2010,329
CHANNAGIRI,DAVANAGERE,2010,351
CHANNAPATNA,RAMANAGARA,2010,298
CHANNARAYAPATNA,HASSAN,2010,484
CHIKKABALLAPUR,CHIKKABALLAPURA,2010,310
CHIKMAGALUR,CHIKKAMANGALORE,2010,436
CHIKNAYAKANHALLI,TUMKUR,2010,353
CHIKODI,BELGAUM CHIKKODI,2010,325
CHINCHOLI,GULBARGA,2010,314
CHINTAMANI,CHIKKABALLAPURA,2010,436
CHITRADURGA,CHITRADURGA,2010,425
CHITTAPUR,GULBARGA,2010,368
DAVANAGERE(N),DAVANAGERE,2010,250
DAVANAGERE(S),DAVANAGERE,2010,293
DEVADURGA,RAICHUR,2010,352
DEVANAHALLI,BANGALORE RURAL,2010,265
DHARWAD,DHARWAD,2010,194
DODDABALLAPURA,BANGALORE RURAL,2010,405
GANGAVATHI,KOPPAL,2010,432
GOKAK,BELGAUM CHIKKODI,2010,218
GOWRIBIDANUR,CHIKKABALLAPURA,2010,359
GUBBI,TUMKUR,2010,436
GUDIBANDA,CHIKKABALLAPURA,2010,116
GUNDULPET,CHAMARAJANAGARA,2010,215
H.D.KOTE,MYSORE,2010,364
HADAGALI,BELLARY,2010,192
HAGARIBOMMANAHALLI,BELLARY,2010,168
HALIYAL,UTTARA KANNADA SIRSI,2010,184
HANAGAL,HAVERI,2010,263
HARAPANAHALLI,DAVANAGERE,2010,318
HARIHARA,DAVANAGERE,2010,208
HASSAN,HASSAN,2010,545
HAVERI,HAVERI,2010,215
HIREKERUR,HAVERI,2010,243
HIRIYUR,CHITRADURGA,2010,368
HOLALKERE,CHITRADURGA,2010,271
HOLENARASIPURA,HASSAN,2010,300
HONNALI,DAVANAGERE,2010,249
HONNAVAR,UTTARA KANNADA,2010,305
HOSADURGA,CHITRADURGA,2010,338
HOSAKOTE,BANGALORE RURAL,2010,319
HOSANAGAR,SHIMOGA,2010,250
HOSPET,BELLARY,2010,306
HUBLI,DHARWAD,2010,160
HUKKERI,BELGAUM CHIKKODI,2010,329
HUMNABAD,BIDAR,2010,329
HUNAGUND,BAGALKOT,2010,291
HUNSUR,MYSORE,2010,339
INDI,BIJAPUR,2010,352
JAMAKHANDI,BAGALKOT,2010,403
JEWARGI,GULBARGA,2010,294
JOIDA,UTTARA KANNADA SIRSI,2010,168
K.R.NAGARA,MYSORE,2010,275
KADUR,CHIKKAMANGALORE,2010,280
KALGHATAGI,DHARWAD,2010,137
KANAKAPURA,RAMANAGARA,2010,515
KARKALA,UDUPI,2010,219
KARWAR,UTTARA KANNADA,2010,196
KHANAPUR,BELGAUM,2010,364
KOLAR,KOLAR,2010,482
KOLLEGAL,CHAMARAJANAGARA,2010,135
KOPPA,CHIKKAMANGALORE,2010,149
KOPPAL,KOPPAL,2010,300
KORATAGERE,TUMKUR MADHUGIRI,2010,288
KRISHNARAJA PET,MANDYA,2010,384
KUDLIGI,BELLARY,2010,338
KUMTA,UTTARA KANNADA,2010,227
KUNDAGOL,DHARWAD,2010,121
KUNIGAL,TUMKUR,2010,463
KUSTAGI,KOPPAL,2010,251
LINGASUGUR,RAICHUR,2010,386
MADDUR,MANDYA,2010,311
MADHUGIRI,TUMKUR MADHUGIRI,2010,403
MADIKERI,KODAGU,2010,160
MAGADI,RAMANAGARA,2010,447
MALAVALLY,MANDYA,2010,312
MALUR,KOLAR,2010,358
MANVI,RAICHUR,2010,373
MOLAKALMUR,CHITRADURGA,2010,170
MOODIGERE,CHIKKAMANGALORE,2010,211
MUDDEBIHAL,BIJAPUR,2010,318
MUDHOL,BAGALKOT,2010,294
MULBAGAL,KOLAR,2010,429
MUNDAGOD,UTTARA KANNADA SIRSI,2010,145
MUNDARAGI,GADAG,2010,119
MYSORE RURAL,MYSORE,2010,305
NAGAMANGALA,MANDYA,2010,385
NANJANAGUD,MYSORE,2010,322
NARAGUND,GADAG,2010,69
NARASIMHARAJAPURA,CHIKKAMANGALORE,2010,117
NAVALGUND,DHARWAD,2010,135
NELAMANGALA,BANGALORE RURAL,2010,329
NIPPANI,BELGAUM CHIKKODI,2010,248
PANDAVAPURA,MANDYA,2010,221
PAVAGADA,TUMKUR MADHUGIRI,2010,284
PERIYA PATNA,MYSORE,2010,324
PUTTUR,DAKSHINA KANNADA,2010,235
RAIBAG,BELGAUM CHIKKODI,2010,411
RAICHUR,RAICHUR,2010,378
RAMANAGARA,RAMANAGARA,2010,366
RAMDURG,BELGAUM,2010,239
RON,GADAG,2010,207
SAGAR,SHIMOGA,2010,365
SAKALESHAPURA,HASSAN,2010,212
SANDUR,BELLARY,2010,204
SAVANUR,HAVERI,2010,132
SEDAM,GULBARGA,2010,281
SHAHAPUR,YADAGIRI,2010,343
SHIGGOAN,HAVERI,2010,193
SHIKARIPUR,SHIMOGA,2010,276
SHIMOGA,SHIMOGA,2010,493
SHIRHATTI,GADAG,2010,168
SHORAPUR,YADAGIRI,2010,421
SIDDAPUR,UTTARA KANNADA SIRSI,2010,232
SIDLAGHATTA,CHIKKABALLAPURA,2010,310
SINDAGI,BIJAPUR,2010,421
SINDHANUR,RAICHUR,2010,416
SIRA,TUMKUR MADHUGIRI,2010,475
SIRSI,UTTARA KANNADA SIRSI,2010,322
SIRUGUPPA,BELLARY,2010,233
SOMAVARPET,KODAGU,2010,196
SORAB,SHIMOGA,2010,328
SOUNDATTI,BELGAUM,2010,277
SRINGERI,CHIKKAMANGALORE,2010,76
SRINIVASAPUR,KOLAR,2010,372
SRIRANGA PATNA,MANDYA,2010,173
SULLIA,DAKSHINA KANNADA,2010,167
T.N.PURA,MYSORE,2010,274
TARIKERE,CHIKKAMANGALORE,2010,281
THIRTHAHALLI,SHIMOGA,2010,259
TIPTUR,TUMKUR,2010,330
TUMKUR,TUMKUR,2010,652
TURUVEKERE,TUMKUR,2010,340
UDUPI,UDUPI,2010,170
VIRAJPET,KODAGU,2010,179
YADGIR,YADAGIRI,2010,357
YELANDUR,CHAMARAJANAGARA,2010,75
YELBURGA,KOPPAL,2010,236
YELLAPUR,UTTARA KANNADA SIRSI,2010,192
AFZALPUR,GULBARGA,2011,267
ALAND,GULBARGA,2011,412
ALUR,HASSAN,2011,228
ANKOLA,UTTARA KANNADA,2011,197
ARAKALAGUDU,HASSAN,2011,412
ARASIKERE,HASSAN,2011,578
ATHANI,BELGAUM CHIKKODI,2011,481
AURAD,BIDAR,2011,426
BADAMI,BAGALKOT,2011,348
BAGALKOT,BAGALKOT,2011,295
BAGEPALLY,CHIKKABALLAPURA,2011,397
BAILHONGAL,BELGAUM,2011,377
BANGARAPETE,KOLAR,2011,427
BANTWAL,DAKSHINA KANNADA,2011,381
BASAVAKALYAN,BIDAR,2011,426
BASAVAN  BAGEWADI,BIJAPUR,2011,452
BELGAUM CITY,BELGAUM,2011,348
BELGAUM RURAL.,BELGAUM,2011,425
BELTHANGADY,DAKSHINA KANNADA,2011,282
BELUR,HASSAN,2011,407
BHADRAVATI,SHIMOGA,2011,431
BHALKI,BIDAR,2011,404
BHATKAL,UTTARA KANNADA,2011,230
BIDAR,BIDAR,2011,653
BILAGI,BAGALKOT,2011,206
BYADAGI,HAVERI,2011,164
CHALLAKERE,CHITRADURGA,2011,520
CHAMARAJA NAGAR,CHAMARAJANAGARA,2011,394
CHANNAGIRI,DAVANAGERE,2011,423
CHANNAPATNA,RAMANAGARA,2011,344
CHANNARAYAPATNA,HASSAN,2011,558
CHIKKABALLAPUR,CHIKKABALLAPURA,2011,345
CHIKMAGALUR,CHIKKAMANGALORE,2011,502
CHIKNAYAKANHALLI,TUMKUR,2011,411
CHIKODI,BELGAUM CHIKKODI,2011,369
CHINCHOLI,GULBARGA,2011,359
CHINTAMANI,CHIKKABALLAPURA,2011,514
CHITRADURGA,CHITRADURGA,2011,520
CHITTAPUR,GULBARGA,2011,472
DAVANAGERE(N),DAVANAGERE,2011,316
DAVANAGERE(S),DAVANAGERE,2011,400
DEVADURGA,RAICHUR,2011,389
DEVANAHALLI,BANGALORE RURAL,2011,305
DHARWAD,DHARWAD,2011,228
DODDABALLAPURA,BANGALORE RURAL,2011,450
GANGAVATHI,KOPPAL,2011,516
GOKAK,BELGAUM CHIKKODI,2011,260
GOWRIBIDANUR,CHIKKABALLAPURA,2011,415
GUBBI,TUMKUR,2011,490
GUDIBANDA,CHIKKABALLAPURA,2011,129
GUNDULPET,CHAMARAJANAGARA,2011,257
H.D.KOTE,MYSORE,2011,412
HADAGALI,BELLARY,2011,232
HAGARIBOMMANAHALLI,BELLARY,2011,216
HALIYAL,UTTARA KANNADA SIRSI,2011,216
HANAGAL,HAVERI,2011,315
HARAPANAHALLI,DAVANAGERE,2011,377
HARIHARA,DAVANAGERE,2011,262
HASSAN,HASSAN,2011,646
HAVERI,HAVERI,2011,280
HIREKERUR,HAVERI,2011,299
HIRIYUR,CHITRADURGA,2011,432
HOLALKERE,CHITRADURGA,2011,314
HOLENARASIPURA,HASSAN,2011,341
HONNALI,DAVANAGERE,2011,301
HONNAVAR,UTTARA KANNADA,2011,329
HOSADURGA,CHITRADURGA,2011,407
HOSAKOTE,BANGALORE RURAL,2011,349
HOSANAGAR,SHIMOGA,2011,279
HOSPET,BELLARY,2011,382
HUBLI,DHARWAD,2011,203
HUKKERI,BELGAUM CHIKKODI,2011,397
HUMNABAD,BIDAR,2011,447
HUNAGUND,BAGALKOT,2011,364
HUNSUR,MYSORE,2011,401
INDI,BIJAPUR,2011,397
JAMAKHANDI,BAGALKOT,2011,482
JEWARGI,GULBARGA,2011,362
JOIDA,UTTARA KANNADA SIRSI,2011,193
K.R.NAGARA,MYSORE,2011,336
KADUR,CHIKKAMANGALORE,2011,342
KALGHATAGI,DHARWAD,2011,173
KANAKAPURA,RAMANAGARA,2011,569
KARKALA,UDUPI,2011,274
KARWAR,UTTARA KANNADA,2011,231
KHANAPUR,BELGAUM,2011,417
KOLAR,KOLAR,2011,533
KOLLEGAL,CHAMARAJANAGARA,2011,171
KOPPA,CHIKKAMANGALORE,2011,176
KOPPAL,KOPPAL,2011,358
KORATAGERE,TUMKUR MADHUGIRI,2011,327
KRISHNARAJA PET,MANDYA,2011,420
KUDLIGI,BELLARY,2011,402
KUMTA,UTTARA KANNADA,2011,258
KUNDAGOL,DHARWAD,2011,150
KUNIGAL,TUMKUR,2011,521
KUSTAGI,KOPPAL,2011,308
LINGASUGUR,RAICHUR,2011,454
MADDUR,MANDYA,2011,381
MADHUGIRI,TUMKUR MADHUGIRI,2011,460
MADIKERI,KODAGU,2011,190
MAGADI,RAMANAGARA,2011,482
MALAVALLY,MANDYA,2011,371
MALUR,KOLAR,2011,396
MANVI,RAICHUR,2011,437
MOLAKALMUR,CHITRADURGA,2011,195
MOODIGERE,CHIKKAMANGALORE,2011,242
MUDDEBIHAL,BIJAPUR,2011,389
MUDHOL,BAGALKOT,2011,344
MULBAGAL,KOLAR,2011,481
MUNDAGOD,UTTARA KANNADA SIRSI,2011,160
MUNDARAGI,GADAG,2011,151
MYSORE RURAL,MYSORE,2011,368
NAGAMANGALA,MANDYA,2011,433
NANJANAGUD,MYSORE,2011,384
NARAGUND,GADAG,2011,98
NARASIMHARAJAPURA,CHIKKAMANGALORE,2011,137
NAVALGUND,DHARWAD,2011,169
NELAMANGALA,BANGALORE RURAL,2011,365
NIPPANI,BELGAUM CHIKKODI,2011,299
PANDAVAPURA,MANDYA,2011,255
PAVAGADA,TUMKUR MADHUGIRI,2011,348
PERIYA PATNA,MYSORE,2011,363
PUTTUR,DAKSHINA KANNADA,2011,308
RAIBAG,BELGAUM CHIKKODI,2011,490
RAICHUR,RAICHUR,2011,448
RAMANAGARA,RAMANAGARA,2011,422
RAMDURG,BELGAUM,2011,287
RON,GADAG,2011,274
SAGAR,SHIMOGA,2011,410
SAKALESHAPURA,HASSAN,2011,252
SANDUR,BELLARY,2011,234
SAVANUR,HAVERI,2011,166
SEDAM,GULBARGA,2011,320
SHAHAPUR,YADAGIRI,2011,406
SHIGGOAN,HAVERI,2011,229
SHIKARIPUR,SHIMOGA,2011,340
SHIMOGA,SHIMOGA,2011,599
SHIRHATTI,GADAG,2011,209
SHORAPUR,YADAGIRI,2011,489
SIDDAPUR,UTTARA KANNADA SIRSI,2011,263
SIDLAGHATTA,CHIKKABALLAPURA,2011,342
SINDAGI,BIJAPUR,2011,518
SINDHANUR,RAICHUR,2011,498
SIRA,TUMKUR MADHUGIRI,2011,553
SIRSI,UTTARA KANNADA SIRSI,2011,359
SIRUGUPPA,BELLARY,2011,275
SOMAVARPET,KODAGU,2011,257
SORAB,SHIMOGA,2011,370
SOUNDATTI,BELGAUM,2011,343
SRINGERI,CHIKKAMANGALORE,2011,87
SRINIVASAPUR,KOLAR,2011,407
SRIRANGA PATNA,MANDYA,2011,203
SULLIA,DAKSHINA KANNADA,2011,206
T.N.PURA,MYSORE,2011,326
TARIKERE,CHIKKAMANGALORE,2011,320
THIRTHAHALLI,SHIMOGA,2011,296
TIPTUR,TUMKUR,2011,382
TUMKUR,TUMKUR,2011,794
TURUVEKERE,TUMKUR,2011,379
UDUPI,UDUPI,2011,241
VIRAJPET,KODAGU,2011,232
YADGIR,YADAGIRI,2011,429
YELANDUR,CHAMARAJANAGARA,2011,93
YELBURGA,KOPPAL,2011,293
YELLAPUR,UTTARA KANNADA SIRSI,2011,212
AFZALPUR,GULBARGA,2012,242
ALAND,GULBARGA,2012,354
ALUR,HASSAN,2012,197
ANKOLA,UTTARA KANNADA,2012,173
ARAKALAGUDU,HASSAN,2012,352
ARASIKERE,HASSAN,2012,475
ATHANI,BELGAUM CHIKKODI,2012,415
AURAD,BIDAR,2012,374
BADAMI,BAGALKOT,2012,296
BAGALKOT,BAGALKOT,2012,242
BAGEPALLY,CHIKKABALLAPURA,2012,361
BAILHONGAL,BELGAUM,2012,306
BANGARAPETE,KOLAR,2012,383
BANTWAL,DAKSHINA KANNADA,2012,301
BASAVAKALYAN,BIDAR,2012,346
BASAVAN  BAGEWADI,BIJAPUR,2012,405
BELGAUM CITY,BELGAUM,2012,265
BELGAUM RURAL.,BELGAUM,2012,339
BELTHANGADY,DAKSHINA KANNADA,2012,235
BELUR,HASSAN,2012,364
BHADRAVATI,SHIMOGA,2012,358
BHALKI,BIDAR,2012,337
BHATKAL,UTTARA KANNADA,2012,202
BIDAR,BIDAR,2012,580
BILAGI,BAGALKOT,2012,175
BYADAGI,HAVERI,2012,129
CHALLAKERE,CHITRADURGA,2012,449
CHAMARAJA NAGAR,CHAMARAJANAGARA,2012,329
CHANNAGIRI,DAVANAGERE,2012,343
CHANNAPATNA,RAMANAGARA,2012,296
CHANNARAYAPATNA,HASSAN,2012,479
CHIKKABALLAPUR,CHIKKABALLAPURA,2012,315
CHIKMAGALUR,CHIKKAMANGALORE,2012,438
CHIKNAYAKANHALLI,TUMKUR,2012,358
CHIKODI,BELGAUM CHIKKODI,2012,319
CHINCHOLI,GULBARGA,2012,326
CHINTAMANI,CHIKKABALLAPURA,2012,454
CHITRADURGA,CHITRADURGA,2012,434
CHITTAPUR,GULBARGA,2012,394
DAVANAGERE(N),DAVANAGERE,2012,251
DAVANAGERE(S),DAVANAGERE,2012,303
DEVADURGA,RAICHUR,2012,364
DEVANAHALLI,BANGALORE RURAL,2012,274
DHARWAD,DHARWAD,2012,196
DODDABALLAPURA,BANGALORE RURAL,2012,429
GANGAVATHI,KOPPAL,2012,467
GOKAK,BELGAUM CHIKKODI,2012,225
GOWRIBIDANUR,CHIKKABALLAPURA,2012,365
GUBBI,TUMKUR,2012,431
GUDIBANDA,CHIKKABALLAPURA,2012,117
GUNDULPET,CHAMARAJANAGARA,2012,212
H.D.KOTE,MYSORE,2012,357
HADAGALI,BELLARY,2012,193
HAGARIBOMMANAHALLI,BELLARY,2012,174
HALIYAL,UTTARA KANNADA SIRSI,2012,183
HANAGAL,HAVERI,2012,265
HARAPANAHALLI,DAVANAGERE,2012,321
HARIHARA,DAVANAGERE,2012,210
HASSAN,HASSAN,2012,521
HAVERI,HAVERI,2012,227
HIREKERUR,HAVERI,2012,238
HIRIYUR,CHITRADURGA,2012,371
HOLALKERE,CHITRADURGA,2012,272
HOLENARASIPURA,HASSAN,2012,295
HONNALI,DAVANAGERE,2012,245
HONNAVAR,UTTARA KANNADA,2012,302
HOSADURGA,CHITRADURGA,2012,339
HOSAKOTE,BANGALORE RURAL,2012,324
HOSANAGAR,SHIMOGA,2012,250
HOSPET,BELLARY,2012,313
HUBLI,DHARWAD,2012,165
HUKKERI,BELGAUM CHIKKODI,2012,338
HUMNABAD,BIDAR,2012,360
HUNAGUND,BAGALKOT,2012,304
HUNSUR,MYSORE,2012,340
INDI,BIJAPUR,2012,359
JAMAKHANDI,BAGALKOT,2012,415
JEWARGI,GULBARGA,2012,329
JOIDA,UTTARA KANNADA SIRSI,2012,179
K.R.NAGARA,MYSORE,2012,272
KADUR,CHIKKAMANGALORE,2012,286
KALGHATAGI,DHARWAD,2012,139
KANAKAPURA,RAMANAGARA,2012,506
KARKALA,UDUPI,2012,222
KARWAR,UTTARA KANNADA,2012,197
KHANAPUR,BELGAUM,2012,369
KOLAR,KOLAR,2012,477
KOLLEGAL,CHAMARAJANAGARA,2012,137
KOPPA,CHIKKAMANGALORE,2012,150
KOPPAL,KOPPAL,2012,328
KORATAGERE,TUMKUR MADHUGIRI,2012,288
KRISHNARAJA PET,MANDYA,2012,384
KUDLIGI,BELLARY,2012,344
KUMTA,UTTARA KANNADA,2012,229
KUNDAGOL,DHARWAD,2012,122
KUNIGAL,TUMKUR,2012,467
KUSTAGI,KOPPAL,2012,261
LINGASUGUR,RAICHUR,2012,396
MADDUR,MANDYA,2012,317
MADHUGIRI,TUMKUR MADHUGIRI,2012,400
MADIKERI,KODAGU,2012,162
MAGADI,RAMANAGARA,2012,408
MALAVALLY,MANDYA,2012,316
MALUR,KOLAR,2012,359
MANVI,RAICHUR,2012,378
MOLAKALMUR,CHITRADURGA,2012,175
MOODIGERE,CHIKKAMANGALORE,2012,211
MUDDEBIHAL,BIJAPUR,2012,336
MUDHOL,BAGALKOT,2012,312
