"","Name","Total.Rural.Urban","No.of.Households","Total.Population.Person","Total.Population.Male","Total.Population.Female","Population.in.the.age.group.0.6.Person","Population.in.the.age.group.0.6.Male","Population.in.the.age.group.0.6.Female","Scheduled.Castes.population.Person","Scheduled.Castes.population.Male","Scheduled.Castes.population.Female","Scheduled.Tribes.population.Person","Scheduled.Tribes.population.Male","Scheduled.Tribes.population.Female","Literates.Population.Person","Literates.Population.Male","Literates.Population.Female","Illiterate.Persons","Illiterate.Male","Illiterate.Female","Total.Worker.Population.Person","Total.Worker.Population.Male","Total.Worker.Population.Female","Main.Working.Population.Person","Main.Working.Population.Male","Main.Working.Population.Female","Main.Cultivator.Population.Person","Main.Cultivator.Population.Male","Main.Cultivator.Population.Female","Main.Agricultural.Labourers.Population.Person","Main.Agricultural.Labourers.Population.Male","Main.Agricultural.Labourers.Population.Female","Main.Household.Industries.Population.Person","Main.Household.Industries.Population.Male","Main.Household.Industries.Population.Female","Main.Other.Workers.Population.Person","Main.Other.Workers.Population.Male","Main.Other.Workers.Population.Female","Marginal.Worker.Population.Person","Marginal.Worker.Population.Male","Marginal.Worker.Population.Female","Marginal.Cultivator.Population.Person","Marginal.Cultivator.Population.Male","Marginal.Cultivator.Population.Female","Marginal.Agriculture.Labourers.Population.Person","Marginal.Agriculture.Labourers.Population.Male","Marginal.Agriculture.Labourers.Population.Female","Marginal.Household.Industries.Population.Person","Marginal.Household.Industries.Population.Male","Marginal.Household.Industries.Population.Female","Marginal.Other.Workers.Population.Person","Marginal.Other.Workers.Population.Male","Marginal.Other.Workers.Population.Female","Marginal.Worker.Population.3_6.Person","Marginal.Worker.Population.3_6.Male","Marginal.Worker.Population.3_6.Female","Marginal.Cultivator.Population.3_6.Person","Marginal.Cultivator.Population.3_6.Male","Marginal.Cultivator.Population.3_6.Female","Marginal.Agriculture.Labourers.Population.3_6.Person","Marginal.Agriculture.Labourers.Population.3_6.Male","Marginal.Agriculture.Labourers.Population.3_6.Female","Marginal.Household.Industries.Population.3_6.Person","Marginal.Household.Industries.Population.3_6.Male","Marginal.Household.Industries.Population.3.6.Female","Marginal.Other.Workers.Population.Person.3_6.Person","Marginal.Other.Workers.Population.Person.3_6.Male","Marginal.Other.Workers.Population.Person.3_6.Female","Marginal.Worker.Population.0_3.Person","Marginal.Worker.Population.0_3.Male","Marginal.Worker.Population.0_3_Female","Marginal.Cultivator.Population.0_3.Person","Marginal.Cultivator.Population.0_3.Male","Marginal.Cultivator.Population.0_3_Female","Marginal.Agriculture.Labourers.Population.0_3.Person","Marginal.Agriculture.Labourers.Population.0_3.Male","Marginal.Agriculture.Labourers.Population.0_3.Female","Marginal.Household.Industries.Population.0_3.Person","Marginal.Household.Industries.Population.0_3.Male","Marginal.Household.Industries.Population.0_3.Female","Marginal.Other.Workers.Population.0_3.Person","Marginal.Other.Workers.Population.0_3.Male","Marginal.Other.Workers.Population.0_3.Female","Non.Working.Population.Person","Non.Working.Population.Male","Non.Working.Population.Female","Split","SCST","distance","weights"
"23883","SORAB","Total",44100,189477,95507,93970,21366,10831,10535,37851,19080,18771,7545,3803,3742,131204,72180,59024,58273,23327,34946,98790,60522,38268,75737,53589,22148,38197,31280,6917,27104,14757,12347,1016,717,299,9420,6835,2585,23053,6933,16120,3667,947,2720,17002,4740,12262,439,180,259,1945,1066,879,20633,6144,14489,3157,788,2369,15611,4343,11268,313,126,187,1552,887,665,2420,789,1631,510,159,351,1391,397,994,126,54,72,393,179,214,90687,34985,55702,0,45396,0.114239575573127,1
"24578","THIRTHAHALLI","Total",31614,127478,62789,64689,10526,5416,5110,12664,6116,6548,2563,1246,1317,96009,50569,45440,31469,12220,19249,65402,41096,24306,53944,37037,16907,19198,14815,4383,19952,11332,8620,687,448,239,14107,10442,3665,11458,4059,7399,1716,323,1393,6279,2262,4017,411,150,261,3052,1324,1728,9501,3487,6014,1388,265,1123,5635,2058,3577,295,107,188,2183,1057,1126,1957,572,1385,328,58,270,644,204,440,116,43,73,869,267,602,62076,21693,40383,0,15227,0.114369318090559,1
"25430","SIRA","Total",58138,256204,129920,126284,26450,13585,12865,60976,30912,30064,26768,13485,13283,159077,91449,67628,97127,38471,58656,141431,81053,60378,108412,70699,37713,51723,39247,12476,31682,15372,16310,4137,1433,2704,20870,14647,6223,33019,10354,22665,6992,1972,5020,17760,4621,13139,1760,488,1272,6507,3273,3234,28314,8510,19804,6399,1773,4626,15770,3913,11857,1477,394,1083,4668,2430,2238,4705,1844,2861,593,199,394,1990,708,1282,283,94,189,1839,843,996,114773,48867,65906,0,87744,0.242376175929138,1
"25682","PAVAGADA","Total",49118,216708,109381,107327,21598,11177,10421,62192,31427,30765,38199,19133,19066,126035,73706,52329,90673,35675,54998,123011,67196,55815,96880,57602,39278,38021,25542,12479,38437,17885,20552,3345,2087,1258,17077,12088,4989,26131,9594,16537,2761,1045,1716,16065,5196,10869,2199,688,1511,5106,2665,2441,23770,8659,15111,2498,922,1576,15095,4884,10211,1794,562,1232,4383,2291,2092,2361,935,1426,263,123,140,970,312,658,405,126,279,723,374,349,93697,42185,51512,0,100391,0.373665325670835,1
"25838","MADHUGIRI","Total",56986,238707,120086,118621,24312,12368,11944,59510,30016,29494,29490,14791,14699,145853,84100,61753,92854,35986,56868,138709,75858,62851,109138,65124,44014,48363,33426,14937,40420,18351,22069,2432,1063,1369,17923,12284,5639,29571,10734,18837,3222,1287,1935,19248,5992,13256,1583,535,1048,5518,2920,2598,26769,9554,17215,2940,1155,1785,18139,5545,12594,1279,445,834,4411,2409,2002,2802,1180,1622,282,132,150,1109,447,662,304,90,214,1107,511,596,99998,44228,55770,0,89000,0.343094789855555,1
"26163","KORATAGERE","Total",36874,152326,76749,75577,15647,7966,7681,35935,17889,18046,16003,8031,7972,96495,54433,42062,55831,22316,33515,89208,49227,39981,67679,41998,25681,36876,25122,11754,17708,7625,10083,936,448,488,12159,8803,3356,21529,7229,14300,3068,1390,1678,13709,3593,10116,641,237,404,4111,2009,2102,19104,6243,12861,2703,1187,1516,12501,3194,9307,573,208,365,3327,1654,1673,2425,986,1439,365,203,162,1208,399,809,68,29,39,784,355,429,63118,27522,35596,0,51938,0.277300797732711,1
"26417","TUMKUR","Total",67797,290254,150272,139982,28695,14636,14059,61264,31174,30090,22152,11397,10755,198918,113619,85299,91336,36653,54683,143934,91343,52591,115972,80622,35350,50332,37164,13168,23631,12315,11316,2940,1381,1559,39069,29762,9307,27962,10721,17241,4493,1233,3260,11944,3179,8765,2058,635,1423,9467,5674,3793,25132,9408,15724,4075,1074,3001,11106,2905,8201,1826,530,1296,8125,4899,3226,2830,1313,1517,418,159,259,838,274,564,232,105,127,1342,775,567,146320,58929,87391,0,83416,0.0707470338624711,1
"27376","TURUVEKERE","Total",38552,154800,76891,77909,13639,7051,6588,21162,10434,10728,4332,2176,2156,107724,59432,48292,47076,17459,29617,78208,49812,28396,61106,45695,15411,37949,30417,7532,8934,4637,4297,786,489,297,13437,10152,3285,17102,4117,12985,5775,963,4812,7585,1681,5904,428,167,261,3314,1306,2008,15269,3488,11781,4958,705,4253,7216,1600,5616,363,146,217,2732,1037,1695,1833,629,1204,817,258,559,369,81,288,65,21,44,582,269,313,76592,27079,49513,0,25494,0.131069926354009,1
"27623","KUNIGAL","Total",47648,191628,95485,96143,17624,9133,8491,27244,13339,13905,2335,1197,1138,114644,65862,48782,76984,29623,47361,107630,62182,45448,89607,57273,32334,59245,38826,20419,11490,5182,6308,1509,746,763,17363,12519,4844,18023,4909,13114,5347,1292,4055,7519,1522,5997,520,185,335,4637,1910,2727,16054,4130,11924,4735,1072,3663,6876,1290,5586,425,142,283,4018,1626,2392,1969,779,1190,612,220,392,643,232,411,95,43,52,619,284,335,83998,33303,50695,0,29579,0.297935600906999,1
"29541","SHORAPUR","Total",62591,360893,182403,178490,60015,30852,29163,78157,39524,38633,74322,37437,36885,158382,98107,60275,202511,84296,118215,173081,98921,74160,138044,85958,52086,50953,40409,10544,60811,26181,34630,2678,1515,1163,23602,17853,5749,35037,12963,22074,2172,904,1268,25372,7999,17373,754,333,421,6739,3727,3012,32331,12039,20292,1740,838,902,24441,7725,16716,569,267,302,5581,3209,2372,2706,924,1782,432,66,366,931,274,657,185,66,119,1158,518,640,187812,83482,104330,1,152479,0.433004868428328,1
"29745","SHAHAPUR","Total",50705,302226,152073,150153,50143,25661,24482,80026,40266,39760,29629,14752,14877,118839,72966,45873,183387,79107,104280,148486,83008,65478,121186,72517,48669,46482,34787,11695,52865,21629,31236,1699,1178,521,20140,14923,5217,27300,10491,16809,1941,939,1002,18004,5734,12270,1141,535,606,6214,3283,2931,24408,9371,15037,1762,850,912,16857,5376,11481,987,474,513,4802,2671,2131,2892,1120,1772,179,89,90,1147,358,789,154,61,93,1412,612,800,153740,69065,84675,1,109655,0.552683164709145,1
"29898","YADGIR","Total",51177,303451,151156,152295,49955,25438,24517,84826,42162,42664,25440,12704,12736,104702,64279,40423,198749,86877,111872,151120,82566,68554,114976,71656,43320,50151,40072,10079,42496,15881,26615,1700,1139,561,20629,14564,6065,36144,10910,25234,2829,1002,1827,25718,6034,19684,933,450,483,6664,3424,3240,32472,9517,22955,2406,823,1583,23688,5357,18331,753,366,387,5625,2971,2654,3672,1393,2279,423,179,244,2030,677,1353,180,84,96,1039,453,586,152331,68590,83741,1,110266,0.720940412455717,1
