"","Name","Total.Rural.Urban","No.of.Households","Total.Population.Person","Total.Population.Male","Total.Population.Female","Population.in.the.age.group.0.6.Person","Population.in.the.age.group.0.6.Male","Population.in.the.age.group.0.6.Female","Scheduled.Castes.population.Person","Scheduled.Castes.population.Male","Scheduled.Castes.population.Female","Scheduled.Tribes.population.Person","Scheduled.Tribes.population.Male","Scheduled.Tribes.population.Female","Literates.Population.Person","Literates.Population.Male","Literates.Population.Female","Illiterate.Persons","Illiterate.Male","Illiterate.Female","Total.Worker.Population.Person","Total.Worker.Population.Male","Total.Worker.Population.Female","Main.Working.Population.Person","Main.Working.Population.Male","Main.Working.Population.Female","Main.Cultivator.Population.Person","Main.Cultivator.Population.Male","Main.Cultivator.Population.Female","Main.Agricultural.Labourers.Population.Person","Main.Agricultural.Labourers.Population.Male","Main.Agricultural.Labourers.Population.Female","Main.Household.Industries.Population.Person","Main.Household.Industries.Population.Male","Main.Household.Industries.Population.Female","Main.Other.Workers.Population.Person","Main.Other.Workers.Population.Male","Main.Other.Workers.Population.Female","Marginal.Worker.Population.Person","Marginal.Worker.Population.Male","Marginal.Worker.Population.Female","Marginal.Cultivator.Population.Person","Marginal.Cultivator.Population.Male","Marginal.Cultivator.Population.Female","Marginal.Agriculture.Labourers.Population.Person","Marginal.Agriculture.Labourers.Population.Male","Marginal.Agriculture.Labourers.Population.Female","Marginal.Household.Industries.Population.Person","Marginal.Household.Industries.Population.Male","Marginal.Household.Industries.Population.Female","Marginal.Other.Workers.Population.Person","Marginal.Other.Workers.Population.Male","Marginal.Other.Workers.Population.Female","Marginal.Worker.Population.3_6.Person","Marginal.Worker.Population.3_6.Male","Marginal.Worker.Population.3_6.Female","Marginal.Cultivator.Population.3_6.Person","Marginal.Cultivator.Population.3_6.Male","Marginal.Cultivator.Population.3_6.Female","Marginal.Agriculture.Labourers.Population.3_6.Person","Marginal.Agriculture.Labourers.Population.3_6.Male","Marginal.Agriculture.Labourers.Population.3_6.Female","Marginal.Household.Industries.Population.3_6.Person","Marginal.Household.Industries.Population.3_6.Male","Marginal.Household.Industries.Population.3.6.Female","Marginal.Other.Workers.Population.Person.3_6.Person","Marginal.Other.Workers.Population.Person.3_6.Male","Marginal.Other.Workers.Population.Person.3_6.Female","Marginal.Worker.Population.0_3.Person","Marginal.Worker.Population.0_3.Male","Marginal.Worker.Population.0_3_Female","Marginal.Cultivator.Population.0_3.Person","Marginal.Cultivator.Population.0_3.Male","Marginal.Cultivator.Population.0_3_Female","Marginal.Agriculture.Labourers.Population.0_3.Person","Marginal.Agriculture.Labourers.Population.0_3.Male","Marginal.Agriculture.Labourers.Population.0_3.Female","Marginal.Household.Industries.Population.0_3.Person","Marginal.Household.Industries.Population.0_3.Male","Marginal.Household.Industries.Population.0_3.Female","Marginal.Other.Workers.Population.0_3.Person","Marginal.Other.Workers.Population.0_3.Male","Marginal.Other.Workers.Population.0_3.Female","Non.Working.Population.Person","Non.Working.Population.Male","Non.Working.Population.Female","Split","SCST","distance","weights"
"17600","BANGARAPETE","Total",57973,264750,134102,130648,29946,15368,14578,89407,44820,44587,9425,4696,4729,164427,93438,70989,100323,40664,59659,125847,79300,46547,100832,68541,32291,31418,22800,8618,29603,15248,14355,1502,805,697,38309,29688,8621,25015,10759,14256,3539,1308,2231,12553,4484,8069,729,211,518,8194,4756,3438,21021,9047,11974,3056,1102,1954,10737,3853,6884,600,168,432,6628,3924,2704,3994,1712,2282,483,206,277,1816,631,1185,129,43,86,1566,832,734,138903,54802,84101,1,98832,0.116020458680719,1
"17992","MULBAGAL","Total",42353,201659,101611,100048,23205,11869,11336,66831,33331,33500,7958,4044,3914,121653,69772,51881,80006,31839,48167,112720,61623,51097,90923,53530,37393,37505,23374,14131,34288,17194,17094,1988,834,1154,17142,12128,5014,21797,8093,13704,4376,1532,2844,11448,4033,7415,1509,475,1034,4464,2053,2411,19498,7134,12364,3820,1300,2520,10497,3680,6817,1259,377,882,3922,1777,2145,2299,959,1340,556,232,324,951,353,598,250,98,152,542,276,266,88939,39988,48951,1,74789,0.257729617314603,1
"18338","YELBURGA","Total",47360,252628,127673,124955,36217,18657,17560,49287,24961,24326,29183,14781,14402,144088,86168,57920,108540,41505,67035,131703,71452,60251,98028,58866,39162,37106,27094,10012,40256,16743,23513,2186,1463,723,18480,13566,4914,33675,12586,21089,2418,997,1421,24399,8056,16343,1238,508,730,5620,3025,2595,30556,11431,19125,1964,841,1123,22979,7559,15420,912,420,492,4701,2611,2090,3119,1155,1964,454,156,298,1420,497,923,326,88,238,919,414,505,120925,56221,64704,0,78470,0.192224019145797,1
"18665","GANGAVATHI","Total",68480,354376,176938,177438,50729,25902,24827,72799,36037,36762,58434,29091,29343,196902,112404,84498,157474,64534,92940,170400,99157,71243,132673,84218,48455,40312,31051,9261,58950,28219,30731,2344,1475,869,31067,23473,7594,37727,14939,22788,2777,1190,1587,27604,9664,17940,1029,419,610,6317,3666,2651,33241,13254,19987,2422,1068,1354,24602,8612,15990,779,329,450,5438,3245,2193,4486,1685,2801,355,122,233,3002,1052,1950,250,90,160,879,421,458,183976,77781,106195,0,131233,0.147801694227221,1
"19300","NAGAMANGALA","Total",40790,170121,84798,85323,14964,7678,7286,22075,10934,11141,2026,1072,954,107141,61436,45705,62980,23362,39618,98546,54903,43643,75090,48941,26149,54943,36658,18285,7691,3189,4502,645,362,283,11811,8732,3079,23456,5962,17494,13030,2937,10093,5696,1321,4375,815,221,594,3915,1483,2432,18484,4210,14274,9733,1690,8043,5055,1152,3903,531,110,421,3165,1258,1907,4972,1752,3220,3297,1247,2050,641,169,472,284,111,173,750,225,525,71575,29895,41680,0,24101,0.261586177363769,1
"19670","PANDAVAPURA","Total",38422,162953,81866,81087,15668,8109,7559,20407,10104,10303,2608,1298,1310,96880,55023,41857,66073,26843,39230,83437,53461,29976,73076,49847,23229,44446,32407,12039,15174,7655,7519,1153,727,426,12303,9058,3245,10361,3614,6747,2868,820,2048,4728,1311,3417,265,140,125,2500,1343,1157,9688,3383,6305,2719,766,1953,4463,1263,3200,218,113,105,2288,1241,1047,673,231,442,149,54,95,265,48,217,47,27,20,212,102,110,79516,28405,51111,0,23015,0.218364838570196,1
"20292","MALAVALLY","Total",57389,245664,123908,121756,23503,12185,11318,50836,25428,25408,1373,702,671,143487,80702,62785,102177,43206,58971,117934,78188,39746,92257,66864,25393,43132,35597,7535,28311,15644,12667,1212,737,475,19602,14886,4716,25677,11324,14353,3898,1668,2230,15961,6463,9498,837,411,426,4981,2782,2199,22668,10138,12530,3409,1512,1897,14264,5859,8405,708,350,358,4287,2417,1870,3009,1186,1823,489,156,333,1697,604,1093,129,61,68,694,365,329,127730,45720,82010,0,52209,0.184908105994178,1
"20687","HUNSUR","Total",53791,232098,117516,114582,25563,13071,12492,44548,22500,22048,42458,21441,21017,132101,75383,56718,99997,42133,57864,122515,75050,47465,100592,67142,33450,57836,41391,16445,27057,14077,12980,1327,918,409,14372,10756,3616,21923,7908,14015,4950,1562,3388,12301,3686,8615,531,274,257,4141,2386,1755,18978,6214,12764,4354,1313,3041,11455,3334,8121,409,195,214,2760,1372,1388,2945,1694,1251,596,249,347,846,352,494,122,79,43,1381,1014,367,109583,42466,67117,0,87006,0.306296224222073,1
"20903","K.R.NAGARA","Total",51947,216852,108639,108213,20586,10576,10010,32644,16255,16389,15166,7603,7563,129542,73873,55669,87310,34766,52544,113024,69795,43229,85944,60390,25554,49949,37633,12316,21669,12158,9511,1451,1072,379,12875,9527,3348,27080,9405,17675,4928,1744,3184,15399,4785,10614,1078,348,730,5675,2528,3147,24578,8579,15999,4626,1632,2994,14402,4507,9895,832,247,585,4718,2193,2525,2502,826,1676,302,112,190,997,278,719,246,101,145,957,335,622,103828,38844,64984,0,47810,0.236811283823467,1
"21243","H.D.KOTE","Total",55430,237968,119929,118039,26759,13413,13346,66732,33564,33168,57741,28609,29132,132382,74520,57862,105586,45409,60177,124081,76452,47629,98109,66233,31876,44149,33184,10965,39643,22114,17529,991,699,292,13326,10236,3090,25972,10219,15753,4293,1508,2785,16573,5982,10591,681,318,363,4425,2411,2014,22611,9022,13589,3276,1109,2167,15153,5574,9579,554,248,306,3628,2091,1537,3361,1197,2164,1017,399,618,1420,408,1012,127,70,57,797,320,477,113887,43477,70410,0,124473,0.353751919740566,1
"21527","NANJANAGUD","Total",78727,334324,168030,166294,33106,16833,16273,77538,38870,38668,49702,24485,25217,177916,99155,78761,156408,68875,87533,152282,109096,43186,124104,95006,29098,42337,37169,5168,47624,30973,16651,1681,1208,473,32462,25656,6806,28178,14090,14088,2495,1238,1257,16631,7390,9241,1011,347,664,8041,5115,2926,24804,12727,12077,2264,1166,1098,15345,6987,8358,656,262,394,6539,4312,2227,3374,1363,2011,231,72,159,1286,403,883,355,85,270,1502,803,699,182042,58934,123108,0,127240,0.276102892598194,1
"21720","T.N.PURA","Total",60813,260159,130411,129748,26505,13405,13100,72503,36162,36341,34380,17113,17267,143200,78143,65057,116959,52268,64691,110671,82685,27986,78047,62522,15525,28478,26148,2330,27905,19284,8621,1176,894,282,20488,16196,4292,32624,20163,12461,2794,2293,501,21848,12772,9076,1434,732,702,6548,4366,2182,27864,17441,10423,2689,2227,462,19308,11369,7939,898,475,423,4969,3370,1599,4760,2722,2038,105,66,39,2540,1403,1137,536,257,279,1579,996,583,149488,47726,101762,0,106883,0.17973418653814,1
"21855","LINGASUGUR","Total",54940,314021,158245,155776,50328,25915,24413,76106,38594,37512,62160,31105,31055,152056,93171,58885,161965,65074,96891,146937,84317,62620,109382,71861,37521,47696,37742,9954,35529,14333,21196,2627,1678,949,23530,18108,5422,37555,12456,25099,2770,1266,1504,25864,6427,19437,1154,466,688,7767,4297,3470,33284,10528,22756,2421,1112,1309,24519,6013,18506,996,392,604,5348,3011,2337,4271,1928,2343,349,154,195,1345,414,931,158,74,84,2419,1286,1133,167084,73928,93156,0,138266,0.256054561720487,1
"22050","DEVADURGA","Total",43311,251677,125539,126138,41546,21145,20401,55320,27636,27684,88064,43772,44292,99122,61006,38116,152555,64533,88022,128523,69608,58915,104680,61331,43349,45061,32000,13061,46396,20013,26383,1253,831,422,11970,8487,3483,23843,8277,15566,1783,693,1090,18434,5735,12699,711,171,540,2915,1678,1237,21730,7423,14307,1600,616,984,16966,5224,11742,655,144,511,2509,1439,1070,2113,854,1259,183,77,106,1468,511,957,56,27,29,406,239,167,123154,55931,67223,0,143384,0.601427984238921,1
"22241","RAICHUR","Total",52001,264564,131899,132665,41137,21056,20081,58590,29361,29229,53438,26458,26980,120070,73276,46794,144494,58623,85871,134431,74138,60293,104842,62853,41989,35381,24737,10644,44647,20319,24328,1981,1154,827,22833,16643,6190,29589,11285,18304,2169,862,1307,19238,6284,12954,1115,439,676,7067,3700,3367,25764,9672,16092,1958,763,1195,17098,5469,11629,863,318,545,5845,3122,2723,3825,1613,2212,211,99,112,2140,815,1325,252,121,131,1222,578,644,130133,57761,72372,0,112028,0.464908552779463,1
"22405","MANVI","Total",62462,324205,160902,163303,47478,24288,23190,71236,35343,35893,83675,41226,42449,146133,87594,58539,178072,73308,104764,165880,91202,74678,131765,77911,53854,46041,33622,12419,67582,31193,36389,1862,1245,617,16280,11851,4429,34115,13291,20824,2120,1042,1078,26881,9638,17243,828,320,508,4286,2291,1995,30147,11754,18393,1716,866,850,24418,8782,15636,639,251,388,3374,1855,1519,3968,1537,2431,404,176,228,2463,856,1607,189,69,120,912,436,476,158325,69700,88625,0,154911,0.569185592034817,1
"22579","SINDHANUR","Total",61432,317363,158235,159128,43485,22368,21117,59733,29658,30075,49255,24317,24938,163522,96978,66544,153841,61257,92584,162266,90320,71946,134187,80251,53936,51925,38173,13752,62329,28477,33852,2013,1237,776,17920,12364,5556,28079,10069,18010,2676,1147,1529,19723,6221,13502,796,288,508,4884,2413,2471,25075,8895,16180,2200,984,1216,18339,5742,12597,581,183,398,3955,1986,1969,3004,1174,1830,476,163,313,1384,479,905,215,105,110,929,427,502,155097,67915,87182,0,108988,0.324009563558486,1
"22756","MAGADI","Total",42987,176236,88784,87452,16331,8263,8068,37227,18644,18583,5475,2762,2713,110468,63022,47446,65768,25762,40006,95100,57235,37865,74240,49409,24831,43431,30355,13076,10962,5175,5787,1964,1076,888,17883,12803,5080,20860,7826,13034,5103,1998,3105,7214,1992,5222,1751,660,1091,6792,3176,3616,17963,6574,11389,4749,1859,2890,6726,1808,4918,1451,550,901,5037,2357,2680,2897,1252,1645,354,139,215,488,184,304,300,110,190,1755,819,936,81136,31549,49587,1,42702,0.228542147865852,1
"23045","RAMANAGARA","Total",42256,171447,88222,83225,17152,8750,8402,32934,16707,16227,6958,3526,3432,107436,61965,45471,64011,26257,37754,87084,57716,29368,80907,55040,25867,35157,23726,11431,14492,7306,7186,1159,716,443,30099,23292,6807,6177,2676,3501,1651,387,1264,1815,549,1266,187,125,62,2524,1615,909,5069,2251,2818,1282,323,959,1581,506,1075,162,112,50,2044,1310,734,1108,425,683,369,64,305,234,43,191,25,13,12,480,305,175,84363,30506,53857,1,39892,0.18966041498001,1
"23188","CHANNAPATNA","Total",46465,189362,94310,95052,17345,8810,8535,35401,17725,17676,727,349,378,111760,63518,48242,77602,30792,46810,96210,61325,34885,82162,55394,26768,35926,26304,9622,21457,11487,9970,1324,733,591,23455,16870,6585,14048,5931,8117,2907,775,2132,7468,3061,4407,328,140,188,3345,1955,1390,12395,5217,7178,2731,731,2000,6739,2847,3892,272,114,158,2653,1525,1128,1653,714,939,176,44,132,729,214,515,56,26,30,692,430,262,93152,32985,60167,1,36128,0.234472834254718,1
"23336","KANAKAPURA","Total",72748,296863,151060,145803,28578,14647,13931,61278,31088,30190,6722,3420,3302,165925,95308,70617,130938,55752,75186,154633,96071,58562,134258,87767,46491,76580,52584,23996,27490,13110,14380,1849,1029,820,28339,21044,7295,20375,8304,12071,4350,1245,3105,9007,3067,5940,719,313,406,6299,3679,2620,17558,6938,10620,3774,1041,2733,8064,2718,5346,480,198,282,5240,2981,2259,2817,1366,1451,576,204,372,943,349,594,239,115,124,1059,698,361,142230,54989,87241,1,68000,0.344665878611117,1
