"","Block_Name","X","Year","Marks1","Marks2","Marks3","Marks4","Marks5","Marks6","Total","Dist_Name","Rural_Urban","No_of_Working_Days","No_of_Acad_Inspection","School_Dev_Grant_Recd","School_Dev_Grant_Expnd","TLM_Grant_Recd","TLM_Grant_Expnd","Tot_Clrooms","Toilet_Girls","Electricity","Library","PlayGround","Male_Tch","Female_Tch","Graduate_Teachers","Tch_with_Prof_Qual","Days_involved_in_non_tch_assgn","Teachers_involved_in_non_tch_assgn","Public","Split","Households","TotPop","Pop0.6","Literates","TotWPop","SCST","District","Yr2005","Yr2006","Yr2007","Yr2008","Yr2009","Yr2010","Yr2011","Yr2012","Yr2013","SchoolperPop2005","SchoolperPop2006","SchoolperPop2007","SchoolperPop2008","SchoolperPop2009","SchoolperPop2010","SchoolperPop2011","SchoolperPop2012","SchoolperPop2013"
"11","BANGARAPETE",99,2013,71.48979592,NA,55.91836735,48.7755102,49.69387755,61.67346939,338.244898,"KOLAR",0.892950392,0.548302872,1.193211488,6061.357702,6061.357702,0,0,3.981723238,1,0.992167102,0.992167102,0.438642298,1.365535248,2.503916449,0.253263708,3.783289817,0,0,0.872062663,1,57973,264750,29946,164427,125847,98832,"KOLAR",540,550,442,375,383,385,427,383,383,2.03966005665722,2.07743153918791,1.66949952785647,1.41643059490085,1.4466477809254,1.45420207743154,1.61284230406043,1.4466477809254,1.4466477809254
"12","BASAVAKALYAN",108,2013,65.36363636,NA,53.03409091,40.92045455,42.60227273,49.13636364,298.3409091,"BIDAR",0.767567568,0,0.767567568,8463.089189,7366.405405,405.4297297,451.372973,6.286486486,1,0.897297297,0.883783784,0.567567568,3.113513514,2.156756757,0.518918919,5.110810811,0.008108108,0.008108108,0.721621622,0,51676,275530,36191,160037,124528,126070,"BIDAR",260,279,286,308,323,333,426,346,370,0.943635901716691,1.01259390991907,1.03799949188836,1.117845606649,1.17228613944035,1.20857982796792,1.54611113127427,1.25576162305375,1.34286647551991
"13","BASAVAN  BAGEWADI",117,2013,67.29577465,NA,53.25352113,45.3943662,44.70422535,60.05633803,315.4929577,"BIJAPUR",0.9,2.436585366,3.268292683,7329.265854,7243.143902,1768.290244,1756.095122,5.587804878,1,0.953658537,0.948780488,0.831707317,2.917073171,1.882926829,2.017073171,4.782926829,0,0,0.768292683,0,60490,315523,45980,172746,142728,73949,"BIJAPUR",306,307,326,339,353,373,452,405,410,0.96981836506372,0.972987706126019,1.03320518630971,1.07440662011961,1.11877739499181,1.1821642162378,1.43254216015948,1.28358313023139,1.29942983554289
"14","BELUR",126,2013,81.38461538,NA,52.61538462,41.30769231,43.61538462,54.21153846,322.6730769,"HASSAN",0.934246575,0,0.117808219,7678.219178,7718.720548,1236.986301,1208.219178,3.501369863,0.991780822,1,0.997260274,0.567123288,1.443835616,1.580821918,0.989041096,2.983561644,0.016438356,0.005479452,0.920547945,0,40230,161974,14951,110042,88602,57799,"HASSAN",358,362,353,359,358,366,407,364,365,2.21023127168558,2.23492659315693,2.1793621198464,2.21640510205342,2.21023127168558,2.25962191462827,2.51274895970958,2.2472742538926,2.25344808426044
"15","BHADRAVATI",135,2013,77.6835443,NA,57.01265823,47.4556962,48.30379747,56.21518987,340.0506329,"SHIMOGA",0.695774648,0,1.211267606,8077.464789,7084.676056,1674.808451,1587.323944,5.149295775,1,0.96056338,0.977464789,0.614084507,1.774647887,3.295774648,0.298591549,5.05915493,0,0,0.836619718,0,42739,188744,20437,124513,89215,56026,"SHIMOGA",353,346,354,355,357,357,431,358,355,1.87025812741067,1.8331708557623,1.87555630907473,1.88085449073878,1.89145085406688,1.89145085406688,2.2835162972068,1.89674903573094,1.88085449073878
"16","BHALKI",144,2013,65.02816901,NA,53.88732394,43.65915493,44.08591549,49.45774648,306.3661972,"BIDAR",0.820289855,0,1.875362319,8025.423188,6648.498551,1724.782609,1557.971014,6.147826087,1,0.907246377,0.913043478,0.588405797,2.979710145,2.156521739,0.269565217,5.057971014,0,0,0.808695652,0,46537,237017,29297,145558,108152,86634,"BIDAR",219,246,328,335,326,337,404,337,345,0.923984355552555,1.03790023500424,1.38386698000565,1.41340072653016,1.37542876671294,1.42183893982288,1.70451908512891,1.42183893982288,1.45559179299375
"17","BHATKAL",153,2013,80.32432432,NA,56.18918919,45.26756757,47.18918919,53.81081081,330.7297297,"UTTARA KANNADA",0.906862745,0,0.691176471,7450.980392,6836.142157,1683.063725,1601.813725,4.470588235,0.995098039,1,0.980392157,0.661764706,1.406862745,2.93627451,1.990196078,4.274509804,0.12745098,0.034313725,0.897058824,0,25596,129576,13847,93469,47854,22513,"UTTARA KANNADA",180,188,188,198,196,197,230,202,204,1.38914613817374,1.45088596653701,1.45088596653701,1.52806075199111,1.51262579490029,1.5203432734457,1.77502006544422,1.55893066617275,1.57436562326357
"18","BIDAR",162,2013,60.76793893,NA,53.86946565,41.38854962,40.95801527,45.17938931,286.6030534,"BIDAR",0.59,0,0.136666667,6370.833333,6287.025,5.833333333,3.343333333,6.688333333,1,0.868333333,0.838333333,0.781666667,2.021666667,3.818333333,0.771666667,5.255,0,0,0.595,0,47610,255568,34242,143540,111448,105280,"BIDAR",329,359,419,438,490,521,653,580,600,1.28732861704126,1.40471420522131,1.63948538158142,1.71382958742879,1.91729794027421,2.0385963813936,2.55509296938584,2.26945470481437,2.34771176360108
"19","BILAGI",171,2013,79.97435897,NA,62.53846154,49.30769231,55.05128205,64.30769231,367.8205128,"BAGALKOT",0.89017341,0,1.387283237,7910.65896,6829.202312,1863.225434,1759.468208,5.867052023,1,0.971098266,0.976878613,0.791907514,3.231213873,2.080924855,1.369942197,5.300578035,0.104046243,0.040462428,0.826589595,0,27142,142502,21618,76871,68593,43271,"BAGALKOT",129,145,157,157,165,169,206,175,173,0.905250452625226,1.01752957853223,1.10173892296248,1.10173892296248,1.15787848591599,1.18594826739274,1.44559374605269,1.22805293960787,1.21401804886949
"20","BYADAGI",180,2013,86.55263158,NA,59.47368421,48.13157895,53.21052632,70.94736842,374.2631579,"HAVERI",0.784615385,0,1.861538462,9312.038462,7308.192308,1631.538462,1553.846154,5.892307692,1,1,0.961538462,0.6,3.123076923,2.738461538,0.623076923,5.846153846,0,0,0.884615385,0,23094,111010,13161,74888,53476,29472,"HAVERI",113,117,119,124,125,126,164,129,130,1.01792631294478,1.05395910278353,1.07197549770291,1.11701648500135,1.12602468246104,1.13503287992073,1.47734438338888,1.16205747229979,1.17106566975948
