"","Block_Name","Year","Marks1","Marks2","Marks3","Marks4","Marks5","Marks6","Total","Dist_Name","Rural_Urban","No_of_Working_Days","No_of_Acad_Inspection","School_Dev_Grant_Recd","School_Dev_Grant_Expnd","TLM_Grant_Recd","TLM_Grant_Expnd","Tot_Clrooms","Toilet_Girls","Electricity","Library","PlayGround","Male_Tch","Female_Tch","Graduate_Teachers","Tch_with_Prof_Qual","Days_involved_in_non_tch_assgn","Teachers_involved_in_non_tch_assgn","Public","Split","Households","TotPop","Pop0.6","Literates","TotWPop","SCST","District","Yr2005","Yr2006","Yr2007","Yr2008","Yr2009","Yr2010","Yr2011","Yr2012","Yr2013","SchoolperPop2005","SchoolperPop2006","SchoolperPop2007","SchoolperPop2008","SchoolperPop2009","SchoolperPop2010","SchoolperPop2011","SchoolperPop2012","SchoolperPop2013","distance","weights"
"28","CHINCHOLI",2005,54.98910212,30.91674116,44.53669746,28.29000108,32.12640918,40.78899076,231.6479418,"GULBARGA",0.96484375,92.8046875,0.41015625,2598.414063,1586.398438,4544.53125,2835.542969,3.28515625,1,0.4921875,0.515625,0.53125,2.5625,1.23046875,51.71484375,3.5546875,0,0,0.9375,1,39617,223646,38378,90074,112019,79490,"GULBARGA",256,259,273,298,307,314,359,326,335,1.144666124,1.15808018,1.220679109,1.33246291,1.372705079,1.404004543,1.605215385,1.457660767,1.497902936,0.741756358788537,1
"29","CHINTAMANI",2005,76.82976006,45.31564601,62.00639234,44.88732509,49.69031306,60.81066036,339.5400969,"CHIKKABALLAPURA",0.914942529,118.4551724,0.328735632,2544.664368,1635.804598,3600.595402,2011.806897,3.717241379,1,0.92183908,0.912643678,0.92183908,1.926436782,1.659770115,19.04137931,3.154022989,6.140229885,1.726436782,0.871264368,1,54460,271284,34874,142976,138975,91571,"CHIKKABALLAPURA",435,410,414,429,439,436,514,454,452,1.603485646,1.511331299,1.526075994,1.581368603,1.618230342,1.60717182,1.894693384,1.67352295,1.666150602,0.14560836015483,1
"31","CHITTAPUR",2005,58.99204504,41.20259342,59.18850919,40.45821828,43.65218229,50.84292922,294.3364775,"GULBARGA",0.78125,97.940625,0.690625,2534.3625,1052.934375,4535.565625,2182.41875,3.865625,1,0.371875,0.703125,0.528125,1.4625,2.053125,41.359375,3.246875,0,0,0.86875,1,63214,366802,61518,151227,141221,113195,"GULBARGA",320,324,325,376,358,368,472,394,399,0.872405276,0.883310342,0.886036608,1.025076199,0.976003402,1.003266067,1.286797782,1.074148996,1.087780328,0.435486411386268,1
"32","DEVADURGA",2005,69.78471484,40.62069193,58.93672691,43.39761955,53.51613569,55.69719674,321.9530857,"RAICHUR",0.906122449,86.24081633,0.918367347,2313.955102,1822.983673,3708.35102,2234.408163,3.514285714,1,0.342857143,0.706122449,0.616326531,2.32244898,1.057142857,0.730612245,3.236734694,0,0,0.930612245,0,36709,222457,40747,69553,89069,119259,"RAICHUR",245,249,255,331,347,352,389,364,365,1.101336438,1.119317441,1.146288946,1.487928004,1.559852016,1.58232827,1.748652549,1.636271279,1.64076653,0.482304118222187,1
"33","DEVANAHALLI",2005,75.32269328,39.42786783,54.85891823,38.84833836,44.41227864,53.38309256,306.2531889,"BANGALORE RURAL",0.941176471,82.94117647,0.290196078,2063.776471,620.2196078,809.7529412,218.7215686,3.490196078,1,0.784313725,0.88627451,0.462745098,1.847058824,2.062745098,16.02352941,2.584313725,0,0,0.882352941,1,36013,185326,23440,110358,88533,61381,"BANGALORE RURAL",255,251,256,262,269,265,305,274,277,1.375953725,1.354370137,1.381349622,1.413725004,1.451496282,1.429912694,1.645748573,1.478475767,1.494663458,0.103596911450536,1
"35","DODDABALLAPURA",2005,76.00559202,39.86258025,55.43930107,39.80149854,44.70507972,55.10467752,310.9187291,"BANGALORE RURAL",0.875609756,91.74634146,0.290243902,2540.856098,751.5804878,4177.926829,1154.056098,3.170731707,1,0.717073171,0.880487805,0.402439024,1.995121951,1.468292683,17.56829268,3.207317073,0,0,0.931707317,1,55774,268332,34152,161902,127843,66337,"BANGALORE RURAL",410,400,416,407,408,405,450,429,426,1.527957903,1.490690637,1.550318262,1.516777723,1.52050445,1.50932427,1.677026967,1.598765708,1.587585528,0.166633794965158,1
"36","GANGAVATHI",2005,69.22612843,40.27984013,55.25079379,38.80620778,43.18302904,50.84701039,297.5930096,"KOPPAL",0.960212202,84.72679045,0.610079576,1711.400531,1283.278515,4230.132626,3094.458886,3.517241379,1,0.785145889,0.893899204,0.877984085,2.702917772,1.835543767,27.85676393,4.029177719,0,0,0.769230769,0,73588,406334,69116,179045,175149,122707,"KOPPAL",377,398,422,418,418,432,516,467,472,0.927808158,0.979489779,1.03855449,1.028710371,1.028710371,1.063164786,1.269891272,1.149300821,1.161605969,0.370015519616779,1
"38","GOWRIBIDANUR",2005,62.64024873,35.64966661,48.96991965,34.54732381,41.49589559,47.38586426,270.6889186,"CHIKKABALLAPURA",0.953168044,109.84573,0.220385675,2331.939394,1139.055096,4165.550964,1620.134986,3.922865014,1,0.506887052,0.85399449,0.415977961,2.435261708,1.476584022,14.55096419,3.515151515,3.867768595,0.228650138,0.889807163,1,59400,271119,35462,139718,142644,105807,"CHIKKABALLAPURA",363,353,359,356,356,359,415,365,365,1.338895467,1.302011294,1.324141798,1.313076546,1.313076546,1.324141798,1.530693164,1.346272301,1.346272301,0.6262834715444,1
"40","GUDIBANDA",2005,70.37766389,40.66648384,53.99711958,50.9094848,56.06869544,59.69563411,331.7150816,"CHIKKABALLAPURA",1,123.045045,0.171171171,2445.945946,1505.405405,4004.918919,1936.900901,3.045045045,1,0.423423423,0.711711712,0.288288288,1.882882883,0.927927928,18.66666667,2.477477477,2.72972973,0.414414414,0.936936937,1,10975,51828,6912,24631,27742,20023,"CHIKKABALLAPURA",111,108,110,112,115,116,129,117,119,2.141699467,2.083815698,2.122404878,2.160994057,2.218877827,2.238172416,2.489002084,2.257467006,2.296056186,0.423161987566134,1
"56","HOSAKOTE",2005,78.18495564,40.61604878,57.18426358,41.15933667,48.66063493,56.40290625,322.2081459,"BANGALORE RURAL",0.9125,82.25,0.328125,2097.359375,733.76875,3501.725,987.875,3.509375,1,0.5125,0.81875,0.5,1.3125,2.515625,34.665625,2.790625,0,0,0.875,1,42613,222430,29047,133790,101754,56424,"BANGALORE RURAL",320,307,310,314,320,319,349,324,337,1.438654858,1.380209504,1.393696893,1.411680079,1.438654858,1.434159061,1.569032954,1.456638043,1.515083397,0.10304711435568,1
