"","Block_Name","Rural_Urban","No_of_Working_Days","No_of_Acad_Inspection","School_Dev_Grant_Recd","School_Dev_Grant_Expnd","TLM_Grant_Recd","TLM_Grant_Expnd","Tot_Clrooms","Toilet_Girls","Electricity","Library","PlayGround","Male_Tch","Female_Tch","Graduate_Teachers","Tch_with_Prof_Qual","Days_involved_in_non_tch_assgn","Teachers_involved_in_non_tch_assgn","acyear","Public","Split"
"3","ATHANI",0,97,0,0,0,0,0,3,1,0,0,0,5,2,2,6,0,0,1,1,0
"22","ATHANI",0,99,0,0,0,0,0,12,1,1,1,1,12,8,10,20,0,0,1,0,0
"23","ATHANI",0,86,1,0,0,0,0,14,1,1,1,1,8,8,2,16,0,0,1,0,0
"24","ATHANI",0,707,1,0,0,0,0,10,1,1,1,1,0,15,13,5,0,0,1,1,0
"102","ATHANI",1,102,0,0,0,0,0,7,1,1,1,1,1,7,4,8,0,0,1,0,0
"103","ATHANI",1,0,0,0,0,0,0,0,1,1,0,1,3,0,0,3,0,0,1,1,0
"181","ATHANI",1,99,0,0,0,4000,0,14,1,1,0,1,2,0,2,2,0,0,1,1,0
"242","ATHANI",1,0,0,0,0,0,0,0,1,1,1,1,7,1,7,8,0,0,1,1,0
"403","ATHANI",1,0,0,0,0,0,0,0,1,1,1,1,3,11,11,7,0,0,1,0,0
"422","ATHANI",1,105,0,0,0,0,0,36,1,1,1,1,7,1,0,8,0,0,1,1,0
"456","BAILHONGAL",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
"461","BAILHONGAL",0,0,0,0,0,0,0,0,1,1,0,0,8,1,9,9,0,0,1,1,0
"468","BAILHONGAL",0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0
"619","BAILHONGAL",1,0,0,0,0,0,0,0,1,1,0,1,5,4,5,9,0,0,1,1,0
"705","BELGAUM CITY",0,0,0,0,0,0,0,0,1,1,0,1,6,9,7,11,0,0,1,0,0
"722","BELGAUM CITY",0,98,1,0,0,0,0,10,1,1,1,1,0,7,7,3,0,0,1,0,0
"727","BELGAUM CITY",0,98,2,0,0,0,0,8,1,1,1,1,0,2,2,2,0,0,1,1,0
"728","BELGAUM CITY",0,98,0,0,0,0,0,11,1,1,1,1,3,1,2,4,0,0,1,1,0
"729","BELGAUM CITY",0,96,1,0,0,0,0,10,1,1,1,1,5,2,4,7,0,0,1,1,0
"730","BELGAUM CITY",0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,2,0,0,1,1,0
"754","BELGAUM CITY",0,97,0,0,0,0,0,4,1,1,0,1,2,2,2,4,0,0,1,1,0
"758","BELGAUM CITY",0,98,0,0,0,0,0,9,1,1,0,0,3,13,11,4,0,0,1,0,0
"785","BELGAUM CITY",0,105,2,0,0,0,0,19,1,0,0,0,13,8,19,18,0,0,1,1,0
"793","BELGAUM CITY",0,96,0,0,0,0,0,5,1,1,1,0,0,10,1,10,0,0,1,0,0
"797","BELGAUM CITY",0,101,2,0,0,0,0,10,1,1,1,1,2,7,8,9,0,0,1,0,0
"806","BELGAUM CITY",0,82,1,0,0,0,0,17,1,1,1,1,0,5,0,5,0,0,1,1,0
"808","BELGAUM CITY",0,99,3,0,0,0,0,18,1,1,1,1,1,5,0,6,0,0,1,1,0
"809","BELGAUM CITY",0,97,4,0,0,0,0,13,1,1,1,1,0,2,1,2,0,0,1,1,0
"810","BELGAUM CITY",0,105,0,0,0,4000,4000,7,1,1,1,1,1,4,0,5,0,0,1,1,0
"819","BELGAUM CITY",0,122,1,0,0,0,0,9,1,1,1,1,5,11,8,11,0,0,1,0,0
"851","BELGAUM CITY",0,103,3,0,0,85265,24360,5,1,1,0,0,6,2,8,8,0,0,1,1,0
"869","BELGAUM CITY",0,102,0,0,0,4000,4000,7,1,1,1,1,1,6,1,7,0,0,1,1,0
"875","BELGAUM CITY",0,105,0,0,0,0,0,15,1,1,1,1,0,15,0,15,0,0,1,1,0
"876","BELGAUM CITY",0,102,0,0,0,0,0,21,1,1,1,1,6,23,14,25,0,0,1,0,0
"879","BELGAUM CITY",0,0,0,0,0,0,0,0,1,1,0,1,2,25,11,27,0,0,1,0,0
"880","BELGAUM CITY",0,100,1,0,0,0,0,16,1,1,1,1,3,3,4,4,0,0,1,1,0
"881","BELGAUM CITY",0,100,1,0,0,0,0,29,1,1,1,1,1,4,4,4,0,0,1,1,0
"1058","BELGAUM RURAL.",1,0,0,0,0,0,0,0,1,1,0,1,2,11,8,9,0,0,1,0,0
"1260","CHIKODI",0,0,0,0,0,0,0,0,1,1,0,1,7,4,0,11,0,0,1,1,0
"1331","CHIKODI",1,0,0,0,0,0,0,0,1,1,1,1,7,3,10,10,0,0,1,0,0
"1334","CHIKODI",1,0,0,0,0,0,0,0,1,1,0,1,3,4,3,6,0,0,1,0,0
"1385","CHIKODI",1,0,0,0,0,0,0,0,1,1,0,1,0,7,7,7,0,0,1,0,0
"1483","CHIKODI",1,0,0,0,0,0,0,0,1,1,1,1,6,0,2,6,0,0,1,1,0
"1510","GOKAK",1,0,0,0,0,0,0,0,1,0,0,0,4,4,6,8,0,0,1,1,0
"1530","GOKAK",1,0,0,0,0,0,0,0,1,0,1,1,6,1,4,7,0,0,1,1,0
"1574","GOKAK",0,0,0,0,0,0,0,0,1,1,1,1,5,9,9,14,0,0,1,0,0
"1583","GOKAK",0,0,0,0,0,0,0,0,1,1,1,1,5,15,18,11,0,0,1,0,0
"1584","GOKAK",0,0,0,0,0,0,0,0,1,1,1,1,7,5,7,12,0,0,1,0,0
"1586","GOKAK",0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,8,0,0,1,0,0
"1602","GOKAK",0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,3,0,0,1,1,0
"1604","GOKAK",1,0,0,0,0,0,0,0,1,1,0,1,1,5,0,6,0,0,1,1,0
"1605","GOKAK",0,0,0,0,0,0,0,0,1,1,1,1,4,3,5,7,0,0,1,0,0
"1606","GOKAK",0,0,0,0,0,0,0,0,1,1,1,1,5,7,10,8,0,0,1,0,0
"1626","GOKAK",1,104,0,84000,4000,6700,6700,7,1,1,1,1,6,2,3,8,0,0,1,1,0
"1645","GOKAK",1,0,0,0,0,0,0,0,1,1,0,1,6,1,4,7,0,0,1,0,0
"1668","GOKAK",1,0,0,0,0,0,0,0,1,1,1,1,4,10,9,12,0,0,1,0,0
"1690","GOKAK",1,104,0,4000,4000,6200,5800,8,1,1,1,1,7,2,4,9,0,0,1,1,0
"1709","GOKAK",1,0,0,0,0,0,0,0,1,1,0,1,1,8,4,9,0,0,1,0,0
"1735","GOKAK",1,105,1,4000,0,6200,0,11,1,0,1,1,3,9,4,12,0,0,1,1,0
"1759","GOKAK",0,0,0,0,0,0,0,0,1,1,0,1,3,7,3,10,0,0,1,1,0
"1761","GOKAK",0,0,0,0,0,0,0,0,1,1,0,1,3,5,1,0,0,0,1,0,0
"1780","GOKAK",1,0,0,0,0,0,0,0,1,1,0,0,5,3,2,8,0,0,1,0,0
"1866","GOKAK",1,0,0,0,0,0,0,0,1,1,0,1,6,0,6,6,0,0,1,1,0
"1868","GOKAK",1,0,0,0,0,0,0,0,1,0,0,1,1,3,0,0,0,0,1,0,0
"1935","HUKKERI",1,0,0,0,0,0,0,0,1,1,1,1,4,4,2,8,0,0,1,0,0
"2011","HUKKERI",1,0,0,0,0,0,0,0,1,1,0,1,11,5,12,14,0,0,1,0,0
"2065","HUKKERI",1,0,0,0,0,0,0,0,1,0,0,1,7,2,0,9,0,0,1,1,0
"2134","HUKKERI",0,0,0,0,0,0,0,0,1,1,1,1,3,7,9,10,0,0,1,1,0
"2189","HUKKERI",1,0,0,0,0,0,0,0,1,1,0,1,10,0,10,8,0,0,1,1,0
"2377","KHANAPUR",1,98,0,4000,4000,6000,6000,5,1,0,1,1,5,3,1,7,0,0,1,1,0
"2438","KHANAPUR",1,100,0,0,0,0,0,3,1,0,0,0,4,3,7,7,0,0,1,1,0
"2461","KHANAPUR",0,0,0,0,0,0,0,0,1,1,0,1,1,3,0,4,0,0,1,1,0
"2467","KHANAPUR",1,98,0,0,0,10200,10200,1,1,1,1,1,3,3,2,6,0,0,1,1,0
"2619","NIPPANI",1,96,1,4000,2400,0,0,14,1,1,1,1,8,9,1,17,0,0,1,1,0
"2702","NIPPANI",0,102,0,0,0,0,0,12,1,1,1,1,0,5,0,5,0,0,1,1,0
"2703","NIPPANI",0,102,1,0,0,0,0,22,1,1,1,1,7,4,6,11,0,0,1,1,0
"2704","NIPPANI",0,101,0,0,0,0,0,15,1,1,1,1,4,0,3,4,0,0,1,1,0
"2728","NIPPANI",0,105,0,0,0,0,0,7,1,1,1,1,1,7,4,8,0,0,1,0,0
"2855","RAIBAG",1,0,0,0,0,0,0,0,1,1,1,1,2,8,7,5,0,0,1,0,0
"2859","RAIBAG",1,99,2,0,0,0,0,25,1,1,1,1,4,3,1,7,0,0,1,0,0
"2869","RAIBAG",1,100,1,0,0,0,0,7,1,1,1,1,4,4,3,8,0,0,1,0,0
"2920","RAIBAG",1,0,1,0,0,0,0,8,1,1,1,1,8,3,4,10,0,0,1,0,0
"2939","RAIBAG",1,220,2,0,0,0,0,7,1,1,1,1,4,3,4,7,0,0,1,0,0
"2975","RAIBAG",1,197,0,0,0,0,0,9,1,1,1,1,2,5,3,7,0,0,1,0,0
"3049","RAIBAG",1,96,5,4000,4000,5000,5000,4,1,0,1,1,3,2,0,1,0,0,1,1,0
"3076","RAIBAG",1,0,0,0,0,0,0,0,1,1,1,1,5,5,9,10,0,0,1,0,0
"3095","RAIBAG",1,101,1,0,0,4000,4000,3,1,0,1,1,3,1,1,4,0,0,1,1,0
"3108","RAIBAG",1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,2,0,0,1,1,0
"3157","RAMDURG",1,0,0,0,0,0,0,0,1,1,0,1,2,1,2,3,0,0,1,0,0
"3223","RAMDURG",0,0,0,0,0,0,0,0,1,1,1,1,5,5,4,10,0,0,1,0,0
"3334","SOUNDATTI",1,0,0,0,0,0,0,0,1,0,0,1,6,2,3,8,0,0,1,1,0
"3490","SOUNDATTI",0,0,0,0,0,0,0,0,1,1,0,1,1,3,4,4,0,0,1,0,0
"3500","SOUNDATTI",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0
"3502","SOUNDATTI",0,0,0,0,0,0,0,0,1,1,0,1,1,3,4,4,0,0,1,0,0
"3578","SOUNDATTI",1,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,0,0,1,0,0
"3723","BADAMI",0,100,1,4000,4000,7000,2500,5,1,1,0,0,4,4,1,8,0,0,1,1,0
"3842","BADAMI",0,0,0,0,0,0,0,0,1,1,0,1,2,2,1,4,0,0,1,1,0
"3871","BAGALKOT",0,103,0,0,0,0,0,14,1,1,1,1,6,13,14,19,0,0,1,0,0
"3872","BAGALKOT",0,103,1,0,0,0,0,8,1,1,1,1,6,1,7,7,0,0,1,0,0
"3876","BAGALKOT",0,103,0,0,0,0,0,7,1,1,1,1,1,8,7,9,0,0,1,0,0
"3896","BAGALKOT",0,0,0,0,0,0,0,0,1,1,1,1,11,9,20,16,0,0,1,0,0
"3958","BAGALKOT",1,107,1,0,0,0,0,10,1,1,1,1,6,2,3,8,0,0,1,0,0
"3980","BAGALKOT",1,0,0,0,0,0,0,0,1,1,0,1,0,0,999,0,0,0,1,1,0
"4008","BAGALKOT",1,102,6,0,0,0,0,13,1,1,0,0,0,0,999,0,0,0,1,1,0
"4047","BILAGI",1,110,1,4000,4000,0,0,19,1,1,1,1,1,1,0,2,0,0,1,1,0
"4070","BILAGI",1,95,2,12428,11000,0,0,5,1,1,1,1,4,1,2,5,0,0,1,1,0
"4192","HUNAGUND",1,96,0,4000,4000,7000,0,8,1,1,1,0,4,1,1,5,0,0,1,1,0
"4636","JAMAKHANDI",0,103,0,4000,4000,0,0,6,1,1,1,1,2,7,4,9,0,0,1,1,0
"4722","JAMAKHANDI",0,101,0,0,0,0,0,8,1,1,1,1,1,9,6,4,0,0,1,0,0
"4838","MUDHOL",0,0,0,0,0,0,0,7,1,1,1,1,1,8,6,2,0,0,1,0,0
"4839","MUDHOL",0,99,0,0,0,0,0,9,1,1,1,1,7,2,6,9,0,0,1,0,0
"4890","MUDHOL",0,101,0,0,0,0,0,23,1,1,1,1,0,0,999,0,0,0,1,1,0
"4933","MUDHOL",1,100,3,0,1,0,1,7,1,1,1,1,1,7,2,8,0,0,1,0,0
"4965","BASAVAN  BAGEWADI",1,225,2,0,0,0,0,4,1,1,0,1,5,1,5,6,0,0,1,0,0
"4966","BASAVAN  BAGEWADI",1,101,1,4000,2000,6000,2000,4,1,1,1,1,4,2,2,6,0,0,1,1,0
"5104","BASAVAN  BAGEWADI",1,98,0,4000,4000,6000,6000,7,1,1,1,1,7,11,6,18,0,0,1,1,0
"5162","BASAVAN  BAGEWADI",1,100,0,4000,0,6000,0,6,1,1,1,1,4,2,3,6,0,0,1,1,0
"5280","BIJAPUR",1,101,0,4000,0,6000,0,7,1,1,1,1,5,2,3,7,30,1,1,1,0
"5298","BIJAPUR",1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,2,0,0,1,1,0
"5527","BIJAPUR",1,84,0,2000,2000,4000,4000,3,1,0,1,0,1,2,1,3,0,0,1,1,0
"5555","BIJAPUR",1,99,0,10000,0,0,0,14,1,1,1,0,6,9,9,15,0,0,1,1,0
"5653","BIJAPUR",0,228,2,0,0,0,0,15,1,1,0,1,2,0,2,2,0,0,1,0,0
"5676","BIJAPUR",0,216,0,0,0,45700,43897,10,1,1,1,1,3,4,5,5,0,0,1,0,0
"5702","BIJAPUR",0,101,1,4000,0,6000,2972,7,1,1,1,0,1,7,2,7,23,6,1,1,0
"5709","BIJAPUR",0,237,0,0,0,0,0,9,1,1,0,1,7,3,6,10,0,0,1,1,0
"5718","BIJAPUR",0,249,0,0,0,0,0,4,1,1,0,1,3,0,0,3,0,0,1,1,0
"5719","BIJAPUR",0,99,2,0,0,0,0,8,1,1,1,1,6,6,0,12,12,12,1,0,0
"5726","BIJAPUR",0,101,1,0,0,0,0,7,1,1,1,1,5,2,0,7,0,0,1,0,0
"5781","BIJAPUR",0,102,0,0,0,0,0,1,1,1,0,0,5,2,1,7,0,0,1,0,0
"5791","BIJAPUR",0,98,3,0,0,0,0,21,1,1,1,1,3,4,7,7,0,0,1,0,0
"5836","BIJAPUR",0,101,0,4000,4000,0,0,7,1,0,0,0,1,9,2,10,0,0,1,1,0
"5930","INDI",1,100,0,4000,4000,3000,3000,10,1,1,0,1,6,8,5,14,0,0,1,1,0
"5970","INDI",1,101,0,6000,6000,4000,4000,6,1,1,1,1,7,1,4,8,0,0,1,1,0
"5991","INDI",1,101,0,0,0,0,0,6,1,1,1,1,1,4,3,2,0,0,1,0,0
"6023","INDI",1,104,0,0,0,0,0,7,1,1,0,1,13,2,6,15,0,0,1,0,0
"6024","INDI",1,0,0,2000,2000,0,0,6,1,1,1,1,5,2,7,7,180,6,1,1,0
"6115","INDI",1,100,0,0,0,0,0,8,1,1,1,1,7,3,7,6,0,0,1,0,0
"6460","MUDDEBIHAL",1,103,0,0,0,0,0,10,1,1,1,1,7,0,7,7,10,3,1,1,0
"6478","MUDDEBIHAL",1,101,0,4000,4000,0,0,3,1,0,1,1,5,1,1,6,0,0,1,1,0
"6533","MUDDEBIHAL",0,87,2,0,0,0,0,7,1,1,1,1,6,5,4,11,0,0,1,0,0
"6534","MUDDEBIHAL",0,99,0,0,0,0,0,15,1,1,1,0,8,7,5,15,0,0,1,0,0
"6650","SINDAGI",1,99,1,0,0,0,0,8,1,1,1,1,8,2,3,10,0,0,1,1,0
"7125","AFZALPUR",0,103,0,2000,2000,0,0,2,1,0,0,0,1,4,0,5,0,0,1,1,1
"7128","AFZALPUR",0,0,0,0,0,0,0,0,1,1,1,1,2,7,5,9,0,0,1,0,1
"7148","AFZALPUR",1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1
"7232","AFZALPUR",1,0,0,0,0,0,0,0,1,1,0,1,0,0,999,0,0,0,1,1,1
"7519","CHINCHOLI",1,102,2,0,0,0,0,8,1,1,1,1,4,7,7,5,0,0,1,0,1
"7601","CHITTAPUR",0,99,2,0,0,0,0,7,1,1,1,1,0,0,0,0,0,0,1,0,1
"7666","CHITTAPUR",1,105,0,4000,4000,10000,10000,12,1,1,0,1,10,5,5,15,0,0,1,1,1
"7743","CHITTAPUR",1,99,2,0,0,0,0,8,1,1,1,1,3,0,0,3,0,0,1,0,1
"7770","CHITTAPUR",0,101,0,4000,2000,10000,5060,5,1,1,1,1,1,9,0,10,0,0,1,1,1
"7789","CHITTAPUR",0,101,0,2000,2000,0,0,7,1,1,1,1,0,0,0,0,0,0,1,1,1
"7808","CHITTAPUR",0,0,0,0,0,0,0,0,1,0,0,1,1,3,1,2,0,0,1,0,1
"7840","CHITTAPUR",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1
"7862","CHITTAPUR",1,101,0,2000,2000,5000,5000,3,1,0,1,0,0,1,0,1,0,0,1,1,1
"7889","GULBARGA",1,230,50,5000,5000,5000,5000,6,1,1,0,1,2,7,1,9,0,0,1,1,0
"7912","GULBARGA",0,0,0,0,0,0,0,0,1,1,1,1,0,0,999,0,0,0,1,0,0
"7924","GULBARGA",0,100,8,2000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
"7933","GULBARGA",0,0,0,0,0,0,0,0,1,1,1,1,0,0,999,0,0,0,1,0,0
"7938","GULBARGA",0,0,0,0,0,0,0,0,1,1,1,1,2,4,2,6,0,0,1,0,0
"7967","GULBARGA",0,0,0,0,0,0,0,0,1,1,1,1,0,0,999,0,0,0,1,0,0
"8020","GULBARGA",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0
"8109","GULBARGA",1,100,2,0,0,0,0,10,1,1,1,1,0,0,0,0,0,0,1,0,0
"8140","GULBARGA",0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0
"8152","GULBARGA",0,235,2,0,0,0,0,6,1,1,1,1,2,3,0,5,0,0,1,1,0
"8180","GULBARGA",0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,5,0,0,1,1,0
"8181","GULBARGA",0,235,1,4000,4000,10000,0,7,1,1,1,1,4,5,0,9,0,0,1,1,0
"8191","GULBARGA",0,0,0,0,0,0,0,0,1,1,1,0,0,0,999,0,0,0,1,1,0
"8198","GULBARGA",0,0,0,0,0,0,0,0,1,0,0,1,0,0,999,0,0,0,1,1,0
"8209","GULBARGA",0,0,0,0,0,0,0,0,1,1,1,1,0,0,999,0,0,0,1,0,0
"8216","GULBARGA",0,100,0,0,0,0,0,10,1,1,1,0,4,5,8,8,0,0,1,0,0
"8220","GULBARGA",0,0,0,0,0,0,0,0,1,1,1,1,0,0,999,0,0,0,1,0,0
"8247","GULBARGA",0,0,0,0,0,0,0,0,1,1,1,1,0,0,999,0,0,0,1,0,0
"8249","GULBARGA",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
"8255","GULBARGA",0,0,0,0,0,0,0,0,1,1,1,1,0,0,999,0,0,0,1,0,0
"8256","GULBARGA",0,0,0,0,0,0,0,0,1,1,1,1,0,0,999,0,0,0,1,1,0
"8258","GULBARGA",0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0
"8270","GULBARGA",0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
"8379","JEWARGI",0,0,0,0,0,0,0,0,1,0,0,1,0,0,999,0,0,0,1,1,1
"8450","JEWARGI",1,100,0,4000,4000,10000,10000,9,1,1,0,1,7,4,0,11,0,0,1,1,1
"8475","JEWARGI",1,101,0,2000,0,5000,0,2,1,0,0,1,2,0,0,2,0,0,1,1,1
"8518","SHAHAPUR",1,101,8,0,0,0,0,5,1,1,1,1,3,6,9,9,0,0,1,1,1
"8918","SHORAPUR",1,0,0,0,0,0,0,0,1,1,0,1,0,0,999,0,0,0,1,1,1
"9016","SHORAPUR",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1
"9281","SEDAM",0,100,0,0,0,0,0,18,1,1,1,1,0,0,0,0,0,0,1,0,1
"9562","YADGIR",0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1
"9637","AURAD",1,94,0,0,0,0,0,7,1,1,1,0,5,0,1,5,0,0,1,0,0
"9674","AURAD",1,101,2,4000,4000,5000,5000,7,1,0,1,0,7,0,0,7,0,0,1,1,0
"9787","AURAD",1,101,0,4000,4000,0,0,4,1,1,1,0,4,2,0,6,0,0,1,1,0
"9792","AURAD",1,100,0,0,0,0,0,8,1,0,0,1,5,1,0,5,0,0,1,0,0
"9833","AURAD",1,100,6,0,0,0,0,8,1,1,1,1,7,1,3,8,0,0,1,1,0
"9895","BASAVAKALYAN",1,0,0,0,0,0,0,0,1,1,0,1,8,1,9,9,0,0,1,1,0
"9897","BASAVAKALYAN",0,103,0,0,0,0,0,7,1,1,1,1,6,4,10,10,0,0,1,0,0
"9917","BASAVAKALYAN",0,98,0,0,0,0,0,10,1,1,1,0,6,3,0,9,0,0,1,1,0
"10073","BASAVAKALYAN",1,0,0,0,0,0,0,0,1,1,1,1,17,3,20,20,0,0,1,0,0
"10178","BHALKI",1,99,0,4000,4000,0,0,8,1,1,1,1,4,1,0,4,0,0,1,1,0
"10255","BHALKI",1,101,0,4000,2940,7500,7500,7,1,1,1,0,3,6,0,9,0,0,1,1,0
"10260","BHALKI",1,228,2,2000,2000,4000,4000,7,1,1,1,1,5,6,1,11,0,0,1,1,0
"10384","BIDAR",1,0,0,0,0,0,0,0,1,1,0,0,3,1,4,4,0,0,1,1,0
"10433","BIDAR",0,91,1,0,0,4000,4000,14,1,1,1,1,5,11,5,13,0,0,1,1,0
"10450","BIDAR",0,0,0,0,0,0,0,0,1,1,0,1,12,40,36,46,0,0,1,0,0
"10460","BIDAR",0,100,1,0,0,0,0,22,1,1,1,1,5,8,12,6,0,0,1,0,0
"10515","BIDAR",1,99,0,6040,2000,5000,530,6,1,1,1,0,3,5,1,8,0,0,1,1,0
"10524","BIDAR",1,100,1,0,0,0,0,6,1,1,1,1,3,4,5,7,0,0,1,0,0
"10528","BIDAR",1,100,0,0,0,0,0,7,1,1,1,1,4,4,2,4,0,0,1,1,0
"10576","BIDAR",1,0,0,0,0,0,0,0,1,1,0,1,5,1,4,2,0,0,1,1,0
"10578","BIDAR",1,122,26,0,0,0,0,8,1,1,1,1,5,3,1,7,0,0,1,0,0
"10585","BIDAR",1,0,0,0,0,0,0,11,1,1,0,1,3,4,3,7,0,0,1,0,0
"10611","BIDAR",1,0,0,0,0,0,0,0,1,1,1,0,7,1,0,8,0,0,1,1,0
"10648","BIDAR",0,0,0,0,0,0,0,0,1,1,1,1,6,3,3,6,0,0,1,0,0
"10654","BIDAR",0,99,0,0,0,0,0,7,1,1,1,1,4,2,3,6,0,0,1,0,0
"10672","BIDAR",0,0,0,0,0,0,0,0,1,1,1,1,1,19,1,17,0,0,1,0,0
"10690","BIDAR",0,0,0,0,0,0,0,0,1,1,0,1,0,5,0,5,0,0,1,1,0
"10727","HUMNABAD",0,102,0,0,0,0,0,11,1,0,1,1,3,6,5,9,0,0,1,0,0
"10776","HUMNABAD",1,100,0,0,0,0,0,10,1,1,1,0,6,0,6,0,0,0,1,1,0
"10799","HUMNABAD",0,75,0,0,0,0,0,7,1,1,1,1,3,4,0,0,0,0,1,0,0
"11045","DEVADURGA",1,100,1,0,0,0,0,7,1,1,0,1,0,0,0,0,0,0,1,1,0
"11266","LINGASUGUR",1,90,1,0,0,0,0,16,1,1,0,1,5,9,4,9,0,0,1,0,0
"11340","LINGASUGUR",1,0,0,0,0,0,0,0,1,1,0,0,5,1,0,6,0,0,1,1,0
"11494","MANVI",1,103,1,2000,2000,10000,10000,6,1,1,1,1,1,8,1,9,0,0,1,1,0
"11653","MANVI",0,0,0,2000,2000,0,0,8,1,1,1,1,6,1,0,6,0,0,1,1,0
"11663","MANVI",0,0,0,0,0,0,0,13,1,1,1,1,6,5,6,11,0,0,1,0,0
"11713","MANVI",1,100,0,2000,2000,10000,10000,6,1,1,1,0,6,1,3,7,0,0,1,1,0
"11816","RAICHUR",1,0,0,0,0,0,0,0,1,1,1,1,4,6,9,4,0,0,1,0,0
"11826","RAICHUR",1,100,0,4000,4000,10000,0,7,1,0,1,1,7,3,3,10,0,0,1,1,0
"11964","RAICHUR",0,0,0,0,0,0,0,0,1,1,0,1,2,16,16,16,0,0,1,0,0
"11965","RAICHUR",0,0,0,0,0,0,0,0,1,1,0,1,5,9,7,7,0,0,1,0,0
"11971","RAICHUR",0,0,0,0,0,0,0,0,1,1,1,1,1,5,5,6,0,0,1,0,0
"11974","RAICHUR",0,0,0,0,0,0,0,0,1,1,0,1,2,22,17,16,0,0,1,0,0
"11979","RAICHUR",0,0,0,0,0,0,0,0,1,1,1,1,1,10,1,11,0,0,1,1,0
"11986","RAICHUR",0,0,0,0,0,0,0,0,1,1,0,1,2,5,4,7,0,0,1,0,0
"11991","RAICHUR",0,0,0,0,0,0,0,0,1,1,0,1,0,14,7,7,0,0,1,0,0
"11992","RAICHUR",0,0,0,0,0,0,0,0,1,1,0,1,0,7,2,7,0,0,1,1,0
"11993","RAICHUR",0,0,0,0,0,0,0,0,1,1,0,1,2,6,4,8,0,0,1,1,0
"11994","RAICHUR",0,0,0,0,0,0,0,0,1,1,0,1,0,4,1,0,0,0,1,1,0
"11995","RAICHUR",0,0,0,0,0,0,0,0,1,1,1,1,4,10,12,14,0,0,1,0,0
"12111","SINDHANUR",1,102,0,4000,0,0,0,5,1,0,0,1,3,0,0,3,0,0,1,1,0
"12304","SINDHANUR",0,0,0,0,0,0,0,0,1,1,0,1,3,15,7,18,0,0,1,0,0
"12331","SINDHANUR",0,0,0,0,0,0,0,0,1,1,0,1,6,3,6,8,0,0,1,0,0
"12397","SINDHANUR",1,0,0,0,0,0,0,0,1,1,1,1,6,4,1,10,0,0,1,0,0
"12399","GANGAVATHI",1,162,0,2000,2000,10000,10000,7,1,1,1,1,8,1,0,9,0,0,1,1,0
"12499","GANGAVATHI",0,0,0,0,0,0,0,0,1,1,1,1,2,5,7,7,0,0,1,0,0
"12507","GANGAVATHI",0,98,1,0,0,0,0,25,1,1,1,1,5,9,13,4,0,0,1,0,0
"12509","GANGAVATHI",0,0,0,0,0,0,0,0,1,1,1,1,3,2,5,5,0,0,1,0,0
"12540","GANGAVATHI",1,109,0,0,0,0,0,4,1,1,1,1,2,6,6,7,0,0,1,0,0
"12582","GANGAVATHI",0,0,0,0,0,0,0,0,1,1,1,1,4,5,4,9,0,0,1,0,0
"12608","GANGAVATHI",1,101,0,2000,2000,10000,10000,6,1,1,1,1,5,0,1,5,0,0,1,1,0
"12621","GANGAVATHI",1,106,1,0,0,0,0,7,1,1,1,1,6,9,9,9,0,0,1,0,0
"12634","GANGAVATHI",1,100,2,0,0,0,0,0,1,0,0,0,5,9,7,4,0,0,1,0,0
"12639","GANGAVATHI",1,103,4,0,0,0,0,10,1,1,1,1,7,2,7,4,0,0,1,0,0
"12641","GANGAVATHI",1,0,0,0,0,0,0,0,1,1,0,1,8,6,7,12,0,0,1,0,0
"12651","GANGAVATHI",1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,0,0,1,1,0
"12671","GANGAVATHI",1,0,0,0,0,0,0,0,1,1,1,1,11,8,14,11,0,0,1,0,0
"12713","GANGAVATHI",1,102,0,0,0,0,0,5,1,1,0,1,8,0,8,8,0,0,1,1,0
