,Block_Name,Year,Marks1,Marks2,Marks3,Marks4,Marks5,Marks6,Total,Dist_Name,Rural_Urban,No_of_Working_Days,No_of_Acad_Inspection,School_Dev_Grant_Recd,School_Dev_Grant_Expnd,TLM_Grant_Recd,TLM_Grant_Expnd,Tot_Clrooms,Toilet_Girls,Electricity,Library,PlayGround,Male_Tch,Female_Tch,Graduate_Teachers,Tch_with_Prof_Qual,Days_involved_in_non_tch_assgn,Teachers_involved_in_non_tch_assgn,Public,Split
1,AFZALPUR,2005,59.47780443,36.86489778,56.21957155,35.52719177,38.77918784,49.72016609,276.5888195,GULBARGA,0.946428571,81.51190476,1.148809524,2888.27381,995.875,5640.196429,2242.839286,3.910714286,1,0.583333333,0.851190476,0.702380952,3.05952381,1.494047619,72.11904762,4.452380952,0,0,0.958333333,1
2,AFZALPUR,2006,70.64904938,39.74468023,49.33208365,40.98070536,53.28764529,67.60421469,321.6068497,GULBARGA,0.91954023,215.4137931,0.942528736,3859.195402,2554.212644,2256.321839,1824.712644,4.867816092,1,0.448275862,0.747126437,0.540229885,3.454022989,1.793103448,0.747126437,5.247126437,0,0,0.948275862,1
3,AFZALPUR,2007,72.869867,40.66285961,62.48761664,38.99159103,57.52826008,64.54348999,337.0836843,GULBARGA,0.927374302,215.1061453,0.804469274,2895.692737,1653.201117,2289.385475,1894.145251,4.94972067,1,0.558659218,0.715083799,0.491620112,3.664804469,1.782122905,0.759776536,5.424581006,2.17877095,0.318435754,0.94972067,1
4,AFZALPUR,2008,75.06779137,39.83376693,60.90559977,48.85619373,63.0567652,67.9173939,355.6375109,GULBARGA,0.892307692,199.5435897,0.856410256,24028.26154,13963.25128,3177.866667,1601.54359,6.569230769,1,0.738461538,0.466666667,0.553846154,3.805128205,1.887179487,1.405128205,5.261538462,20.67692308,1.394871795,0.902564103,1
5,AFZALPUR,2009,83.175,37.875,51.625,41.85,48.55,62.75,325.8,GULBARGA,0.898058252,226.6796117,1.825242718,21420.2233,14026.11165,3884.252427,1371.679612,6.121359223,0.475728155,0.985436893,0.616504854,0.558252427,3.699029126,45.46116505,44.94660194,48.97087379,49.16019417,0.631067961,0.888349515,1
6,AFZALPUR,2010,73.75,45.475,62.7,57.025,55.125,63.45,357.45,GULBARGA,0.889400922,0,0.585253456,8236.087558,8017.423963,1824.778802,1807.949309,6.082949309,0.520737327,0.976958525,0.746543779,0.594470046,3.695852535,1.824884793,0.253456221,0.414746544,29.3640553,0.359447005,0.857142857,1
7,AFZALPUR,2011,67.76744186,47.18604651,54.20930233,53.81395349,44.39534884,66.04651163,333.4186047,GULBARGA,0.880149813,0,0.640449438,17099.16854,11364.1236,2224.067416,1510.617978,6,0.872659176,0.925093633,0.95505618,0.629213483,26.37827715,24.48314607,24.49812734,28.13857678,22.71535581,29040205514,0.823970037,1
8,AFZALPUR,2012,71.58695652,44,54.32608696,52.95652174,45.76086957,65.02173913,333.5434783,GULBARGA,0.867768595,0,0.657024793,14134.20661,9255.917355,2488.950413,1931.136364,5.884297521,0.904958678,1.309917355,0.929752066,1.008264463,3.409090909,1.661157025,0.446280992,4.818181818,0.012396694,0.008264463,0.768595041,1
9,AFZALPUR,2013,72.57446809,NA,60.91489362,51.4893617,54.08510638,69.95744681,361.212766,GULBARGA,0.853754941,0,0.802371542,7208.695652,6104.916996,1906.486166,1982.608696,6.019762846,1,0.940711462,0.944664032,0.561264822,3.221343874,1.652173913,1.229249012,4.604743083,0.434782609,0.039525692,0.743083004,1
10,ALAND,2005,65.49772636,36.75792478,57.56871826,41.07394692,41.39071271,52.96554013,295.2545692,GULBARGA,0.92936803,105.4795539,0.936802974,2971.349442,1551.360595,6295.464684,2972.69145,4.446096654,1,0.501858736,0.713754647,0.665427509,2.884758364,1.687732342,26.48698885,4.382899628,0,0,0.881040892,1
11,ALAND,2006,71.73845555,39.79210758,52.50298827,49.55756419,54.39683406,63.83710765,331.9227332,GULBARGA,0.879858657,226.0530035,0.64664311,4294.533569,1058.187279,1886.925795,1265.017668,4.724381625,1,0.395759717,0.632508834,0.561837456,3.141342756,1.706713781,0.424028269,4.848056537,2.696113074,0.265017668,0.879858657,1
12,ALAND,2007,73.15244411,40.20760492,58.34593035,41.87265204,57.43963128,59.29766029,330.315923,GULBARGA,0.88410596,220.8609272,0.443708609,4049.291391,1300.440397,2258.099338,1602.649007,4.701986755,1,0.437086093,0.605960265,0.543046358,3.347682119,1.778145695,0.523178808,5.099337748,0.099337748,0.013245033,0.864238411,1
13,ALAND,2008,70.41640844,42.89440438,56.20104146,52.79409371,60.21742205,62.53650066,345.0598707,GULBARGA,0.845659164,211.7138264,0.903536977,8196.813505,5539.305466,2245.659164,1516.720257,5.874598071,1,0.646302251,0.45659164,0.591639871,3.514469453,2.057877814,1.090032154,5.356913183,17.28617363,0.980707395,0.874598071,1
14,ALAND,2009,78.83098592,36.91549296,48.22535211,40.33802817,44.08450704,58.67605634,307.2253521,GULBARGA,0.864779874,225.9433962,1.581761006,9205.242138,5903.245283,3221.430818,1848.537736,5.305031447,0.496855346,0.971698113,0.616352201,0.572327044,3.562893082,8.496855346,7.613207547,11.76415094,2.330188679,0.273584906,0.867924528,1
15,ALAND,2010,65.59722222,40.76388889,56.56944444,52.02777778,48.45833333,55.47222222,318.8611111,GULBARGA,0.869300912,0,0.94224924,13548.82371,9916.006079,2136.881459,1986.267477,5.300911854,0.282674772,0.963525836,0.686930091,0.519756839,3.452887538,2.294832827,0.069908815,0.188449848,7.489361702,0.224924012,0.860182371,1
16,ALAND,2011,66.83783784,47.90540541,54.18918919,50.82432432,46.40540541,64.39189189,330.6891892,GULBARGA,0.86407767,0,1.077669903,15203.09951,10376.32524,2679.529126,2125.332524,5.424757282,0.890776699,0.902912621,0.951456311,0.59223301,8.682038835,7.133495146,7.155339806,10.64563107,7.313106796,29040108265,0.813106796,1
